1,XL  millennio a.C.,-40000,-35001
2,XXXV millennio a.C.,-35000,-30001
3,XXX millennio a.C.,-30000,-25001
4,XXV millennio a.C.,-25000,-20001
5,XX millennio a.C.,-20000,-15001
6,XV millennio a.C.,-15000,-10001
7,X millennio a.C.,-10000,-9001
8,IX millennio a.C.,-9000,-8001
9,VIII millennio a.C.,-8000,-7001
10,VII millennio a.C.,-7000,-6001
11,VI millennio a.C.,-6000,-5001
12,V millennio a.C.,-5000,-4001
13,IV millennio a.C.,-4000,-3001
14,III millennio a.C.,-3000,-2001
15,II millennio a.C.,-2000,-1001
16,I millennio a.C.,-1000,0
17,XIII secolo a.C.,-1300,-1201
18,XII secolo a.C.,-1200,-1101
19,XI secolo a.C.,-1100,-1001
20,X secolo a.C.,-1000,-901
21,IX secolo a.C.,-900,-801
22,VIII secolo a.C.,-800,-701
23,VII secolo a.C.,-700,-601
24,VI secolo a.C.,-600,-501
25,V secolo a.C.,-500,-401
26,IV secolo a.C.,-400,-301
27,III secolo a.C.,-300,-201
28,II secolo a.C.,-200,-101
29,I secolo a.C.,-100,-1
30,I  secolo d.C.,0,99
31,II secolo d.C.,100,199
32,III  secolo d.C.,200,299
33,IV  secolo d.C.,300,399
34,V  secolo d.C.,400,499
35,VI  secolo d.C.,500,599
36,VII  secolo d.C.,600,699
37,VIII  secolo d.C.,700,799
38,IX  secolo d.C.,800,899
39,X  secolo d.C.,900,999
40,XI  secolo d.C.,1000,1099
41,XII  secolo d.C.,1100,1199
42,XIII  secolo d.C.,1200,1299
43,XIV secolo d.C.,1300,1399
44,XV  secolo d.C.,1400,1499
45,XVI  secolo d.C.,1500,1599
46,XVII  secolo d.C.,1600,1699
47,XVIII  secolo d.C.,1700,1799
48,XIX  secolo d.C.,1800,1899
49,XX  secolo d.C.,1900,1999
50,XXI secolo d.C.,2000,2022
