"scheda","dtsi","dtsf","start","end","id","value"
13766,610,601,-800,-701,22,"VIII secolo a.C."
1920,-570,-550,-700,-601,23,"VII secolo a.C."
4700,-600,-570,-700,-601,23,"VII secolo a.C."
810,-570,-550,-700,-601,23,"VII secolo a.C."
4701,-600,-570,-700,-601,23,"VII secolo a.C."
13816,600,651,-700,-601,23,"VII secolo a.C."
1704,-600,-570,-700,-601,23,"VII secolo a.C."
1916,-655,-650,-600,-501,24,"VI secolo a.C."
14728,-390,-340,-500,-401,25,"V secolo a.C."
14462,-400,-350,-500,-401,25,"V secolo a.C."
14064,-400,-386,-500,-401,25,"V secolo a.C."
11134,-390,-340,-500,-401,25,"V secolo a.C."
33622,-400,-350,-500,-401,25,"V secolo a.C."
11133,-390,-340,-500,-401,25,"V secolo a.C."
11132,-390,-340,-500,-401,25,"V secolo a.C."
11130,-390,-340,-500,-401,25,"V secolo a.C."
11129,-390,-340,-500,-401,25,"V secolo a.C."
14750,-390,-340,-500,-401,25,"V secolo a.C."
14749,-390,-340,-500,-401,25,"V secolo a.C."
14730,-390,-340,-500,-401,25,"V secolo a.C."
7606,-300,-225,-400,-301,26,"IV secolo a.C."
24266,-443,-400,-400,-301,26,"IV secolo a.C."
33623,-300,-280,-400,-301,26,"IV secolo a.C."
12753,-300,-280,-400,-301,26,"IV secolo a.C."
33618,-300,-268,-400,-301,26,"IV secolo a.C."
13695,-430,-400,-400,-301,26,"IV secolo a.C."
31763,-525,-500,-400,-301,26,"IV secolo a.C."
505,-100,0,-300,-201,27,"III secolo a.C."
507,-100,0,-300,-201,27,"III secolo a.C."
512,-100,-100,-300,-201,27,"III secolo a.C."
514,-100,0,-300,-201,27,"III secolo a.C."
515,-200,0,-300,-201,27,"III secolo a.C."
523,-200,-1,-300,-201,27,"III secolo a.C."
524,-100,-1,-300,-201,27,"III secolo a.C."
525,-100,-1,-300,-201,27,"III secolo a.C."
526,-100,-1,-300,-201,27,"III secolo a.C."
528,-100,-1,-300,-201,27,"III secolo a.C."
529,-100,-1,-300,-201,27,"III secolo a.C."
530,-100,-1,-300,-201,27,"III secolo a.C."
533,-100,0,-300,-201,27,"III secolo a.C."
535,-200,-1,-300,-201,27,"III secolo a.C."
536,-200,-1,-300,-201,27,"III secolo a.C."
2112,400,101,-300,-201,27,"III secolo a.C."
443,-100,-1,-300,-201,27,"III secolo a.C."
406,-100,-1,-300,-201,27,"III secolo a.C."
444,-100,-1,-300,-201,27,"III secolo a.C."
407,-100,-1,-300,-201,27,"III secolo a.C."
428,-100,-1,-300,-201,27,"III secolo a.C."
429,-100,-1,-300,-201,27,"III secolo a.C."
430,-100,-1,-300,-201,27,"III secolo a.C."
431,-100,-1,-300,-201,27,"III secolo a.C."
432,-100,-1,-300,-201,27,"III secolo a.C."
436,-100,-1,-300,-201,27,"III secolo a.C."
437,-100,-1,-300,-201,27,"III secolo a.C."
438,-100,-1,-300,-201,27,"III secolo a.C."
439,-100,-1,-300,-201,27,"III secolo a.C."
440,-100,-1,-300,-201,27,"III secolo a.C."
441,-100,-1,-300,-201,27,"III secolo a.C."
442,-100,-1,-300,-201,27,"III secolo a.C."
445,-100,-1,-300,-201,27,"III secolo a.C."
446,-100,-1,-300,-201,27,"III secolo a.C."
447,-100,-1,-300,-201,27,"III secolo a.C."
448,-100,-1,-300,-201,27,"III secolo a.C."
463,-100,-1,-300,-201,27,"III secolo a.C."
474,-150,-1,-300,-201,27,"III secolo a.C."
484,-100,-1,-300,-201,27,"III secolo a.C."
488,-200,-100,-300,-201,27,"III secolo a.C."
489,-200,-100,-300,-201,27,"III secolo a.C."
500,-100,0,-300,-201,27,"III secolo a.C."
502,-100,0,-300,-201,27,"III secolo a.C."
503,-100,0,-300,-201,27,"III secolo a.C."
504,-100,0,-300,-201,27,"III secolo a.C."
20868,302,302,-300,-201,27,"III secolo a.C."
20869,302,302,-300,-201,27,"III secolo a.C."
20870,302,302,-300,-201,27,"III secolo a.C."
20871,302,302,-300,-201,27,"III secolo a.C."
20872,302,302,-300,-201,27,"III secolo a.C."
20873,302,302,-300,-201,27,"III secolo a.C."
20874,302,302,-300,-201,27,"III secolo a.C."
20875,302,302,-300,-201,27,"III secolo a.C."
20876,302,302,-300,-201,27,"III secolo a.C."
20877,302,302,-300,-201,27,"III secolo a.C."
20878,302,302,-300,-201,27,"III secolo a.C."
20879,302,302,-300,-201,27,"III secolo a.C."
20880,302,302,-300,-201,27,"III secolo a.C."
20881,302,302,-300,-201,27,"III secolo a.C."
20882,302,302,-300,-201,27,"III secolo a.C."
20883,302,302,-300,-201,27,"III secolo a.C."
20884,302,302,-300,-201,27,"III secolo a.C."
20885,302,302,-300,-201,27,"III secolo a.C."
20888,302,280,-300,-201,27,"III secolo a.C."
20890,302,280,-300,-201,27,"III secolo a.C."
20891,302,280,-300,-201,27,"III secolo a.C."
20892,302,280,-300,-201,27,"III secolo a.C."
20893,302,280,-300,-201,27,"III secolo a.C."
20894,302,280,-300,-201,27,"III secolo a.C."
20898,330,290,-300,-201,27,"III secolo a.C."
20899,330,280,-300,-201,27,"III secolo a.C."
20900,330,280,-300,-201,27,"III secolo a.C."
20901,330,280,-300,-201,27,"III secolo a.C."
20902,330,280,-300,-201,27,"III secolo a.C."
20903,330,280,-300,-201,27,"III secolo a.C."
20904,330,280,-300,-201,27,"III secolo a.C."
20905,330,280,-300,-201,27,"III secolo a.C."
20906,330,280,-300,-201,27,"III secolo a.C."
20907,330,280,-300,-201,27,"III secolo a.C."
20972,302,302,-300,-201,27,"III secolo a.C."
20973,302,302,-300,-201,27,"III secolo a.C."
20974,302,302,-300,-201,27,"III secolo a.C."
20975,302,302,-300,-201,27,"III secolo a.C."
10952,-325,-280,-300,-201,27,"III secolo a.C."
10948,-325,-280,-300,-201,27,"III secolo a.C."
10954,-325,-280,-300,-201,27,"III secolo a.C."
10958,-325,-280,-300,-201,27,"III secolo a.C."
10960,-325,-280,-300,-201,27,"III secolo a.C."
10962,-325,-280,-300,-201,27,"III secolo a.C."
10964,-325,-280,-300,-201,27,"III secolo a.C."
15065,-400,-385,-300,-201,27,"III secolo a.C."
15066,-400,-385,-300,-201,27,"III secolo a.C."
20619,302,302,-300,-201,27,"III secolo a.C."
20838,314,314,-300,-201,27,"III secolo a.C."
20978,330,330,-300,-201,27,"III secolo a.C."
20979,330,290,-300,-201,27,"III secolo a.C."
20980,330,290,-300,-201,27,"III secolo a.C."
32954,-123,-123,-300,-201,27,"III secolo a.C."
32580,-340,-330,-300,-201,27,"III secolo a.C."
32267,-169,-158,-300,-201,27,"III secolo a.C."
24059,-325,-228,-300,-201,27,"III secolo a.C."
24102,-129,-129,-300,-201,27,"III secolo a.C."
