nctn,stis,stid
360715,1000,gennaio 2006
347376,50,ante 2022
333478,6000,ante 2022
333479,5000,ante 2022
333481,5000,ante 2022
333482,6000,ante 2022
333483,4000,ante 2022
333484,3000,ante 2022
333485,8000,ante 2022
333486,1000,ante 2022
333488,15000,ante 2022
333490,13000,ante 2022
333491,17000,ante 2022
333489,15000,ante 2022
333492,9000,ante 2022
333493,15000,ante 2022
333509,18000,ante 2022
333496,13000,ante 2022
333261,14000,ante 2022
333497,12000,ante 2022
333498,18000,ante 2022
333508,18000,ante 2022
333499,10000,ante 2022
333500,14000,ante 2022
333502,5000,ante 2022
333501,7000,ante 2022
333503,7000,ante 2022
333507,7000,ante 2022
333504,7000,ante 2022
333505,4000,ante 2022
333506,25000,ante 2022
345947,50,ante 2022
345948,50,ante 2022
345949,50,ante 2022
345950,50,ante 2022
345951,50,ante 2022
345952,50,ante 2022
345953,50,ante 2022
345954,50,ante 2022
345955,50,ante 2022
345956,50,ante 2022
345957,60,ante 2022
345958,40,ante 2022
345959,80,ante 2022
345960,40,ante 2022
345961,80,ante 2022
345962,80,ante 2022
345963,50,ante 2022
345964,40,ante 2022
345965,100,ante 2022
345966,10,ante 2022
345967,10,ante 2022
345968,10,ante 2022
345969,10,ante 2022
345970,10,ante 2022
345972,10,ante 2022
345971,40,ante 2022
345973,10,ante 2022
345974,15,ante 2022
345975,15,ante 2022
345976,60,ante 2022
345977,20,ante 2022
345978,20,ante 2022
345979,20,ante 2022
345980,100,ante 2022
317185,1500,2003
317186,1500,2003
317187,1500,2003
317188,1500,2003
317189,1500,2003
317190,1500,2003
317191,1500,2003
317192,1500,2003
317193,1500,2003
317194,1500,2003
317195,1500,2003
317196,1500,2003
317197,1500,2003
317198,1500,2003
317199,1500,2003
317200,1500,2003
317201,1500,2003
317202,1500,2003
317203,1500,2003
317204,1500,2003
317205,1500,2003
317206,1500,2003
317207,1500,2003
317208,1500,2003
317209,1500,2003
317210,1500,2003
317211,1500,2003
317212,1500,2003
317213,1500,2003
317214,1500,2003
317215,1500,2003
317216,1500,2003
317217,1500,2003
317218,1500,2003
317219,1500,2003
317220,1500,2003
317221,1500,2003
317222,1500,2003
317223,1500,2003
317224,1500,2003
317225,1500,2003
317226,1500,2003
317227,1500,2003
317228,1500,2003
317229,1500,2003
317230,1500,2003
317231,1500,2003
317232,1500,2003
317233,1500,2003
317234,1500,2003
317235,1500,2003
324836,100,2008
317236,1500,2003
317237,1500,2003
317238,1500,2003
317239,1500,2003
317240,1500,2003
317241,500,2003
325537,2500,ante 2022
325538,1000,ante 2022
325539,600,ante 2022
325540,700,ante 2022
325541,30000,ante 2022
346523,1300,ante 2022
346524,200,ante 2022
346525,300,ante 2022
346526,100,ante 2022
346527,600,ante 2022
346528,200,ante 2022
346529,200,ante 2022
346530,400,ante 2022
345792,50,ante 2022
345793,60,ante 2022
345794,50,ante 2022
345795,70,ante 2022
345721,40,ante 2022
345796,50,ante 2022
345797,50,ante 2022
345798,30,ante 2022
345799,30,ante 2022
345800,50,ante 2022
345801,40,ante 2022
345802,40,ante 2022
345803,20,ante 2022
345804,300,ante 2022
345805,30,ante 2022
345806,40,ante 2022
345807,50,ante 2022
345808,50,ante 2022
345809,100,ante 2022
345810,50,ante 2022
345811,20,ante 2022
345812,40,ante 2022
345813,50,ante 2022
345814,50,ante 2022
345815,40,ante 2022
345816,50,ante 2022
345817,50,ante 2022
345818,30,ante 2022
345819,30,ante 2022
345820,100,ante 2022
345821,100,ante 2022
345822,10,ante 2022
345823,5,ante 2022
345824,4,ante 2022
345825,500,ante 2022
345826,500,ante 2022
345827,5,ante 2022
334079,800,ante 2022
334153,1000,ante 2022
358462,500,ante 2022
358463,500,ante 2022
358464,500,ante 2022
358465,500,ante 2022
358466,500,ante 2022
358467,500,ante 2022
358468,500,ante 2022
358469,500,ante 2022
358470,500,ante 2022
358471,500,ante 2022
358472,500,ante 2022
358473,500,ante 2022
358474,500,ante 2022
358475,500,ante 2022
358476,500,ante 2022
358477,500,ante 2022
358478,500,ante 2022
358479,500,ante 2022
358480,500,ante 2022
358481,500,ante 2022
358482,500,ante 2022
358483,500,ante 2022
358484,500,ante 2022
358485,500,ante 2022
358486,500,ante 2022
358487,500,ante 2022
358488,500,ante 2022
358489,500,ante 2022
358490,500,ante 2022
358491,500,ante 2022
358492,500,ante 2022
358493,500,ante 2022
358494,500,ante 2022
358495,500,ante 2022
358496,500,ante 2022
358497,500,ante 2022
358498,500,ante 2022
358499,500,ante 2022
358500,500,ante 2022
358501,500,ante 2022
358502,500,ante 2022
358503,500,ante 2022
358504,500,ante 2022
358505,500,ante 2022
358506,500,ante 2022
358507,500,ante 2022
358508,500,ante 2022
358509,500,ante 2022
358510,500,ante 2022
358511,500,ante 2022
358512,500,ante 2022
358513,500,ante 2022
358514,500,ante 2022
358515,500,ante 2022
358516,500,ante 2022
358517,500,ante 2022
358518,500,ante 2022
358519,500,ante 2022
358520,500,ante 2022
358521,500,ante 2022
358522,500,ante 2022
358523,500,ante 2022
358524,500,ante 2022
358525,500,ante 2022
358526,500,ante 2022
358527,500,ante 2022
358528,500,ante 2022
358529,500,ante 2022
358530,500,ante 2022
358531,500,ante 2022
358532,500,ante 2022
358533,500,ante 2022
358534,500,ante 2022
358535,500,ante 2022
358536,500,ante 2022
358537,500,ante 2022
358538,500,ante 2022
358539,500,ante 2022
358540,500,ante 2022
358541,500,ante 2022
358542,500,ante 2022
358543,500,ante 2022
358544,500,ante 2022
358545,500,ante 2022
358546,500,ante 2022
358547,500,ante 2022
358548,500,ante 2022
358549,500,ante 2022
358550,500,ante 2022
358551,500,ante 2022
358552,500,ante 2022
358553,500,ante 2022
358554,500,ante 2022
358555,500,ante 2022
358556,500,ante 2022
358557,500,ante 2022
358558,500,ante 2022
358559,500,ante 2022
358560,500,ante 2022
358561,500,ante 2022
358562,500,ante 2022
358563,500,ante 2022
358564,500,ante 2022
358565,500,ante 2022
358566,500,ante 2022
358567,500,ante 2022
358568,500,ante 2022
358569,500,ante 2022
358570,500,ante 2022
358571,500,ante 2022
358572,500,ante 2022
358573,500,ante 2022
358574,500,ante 2022
358575,500,ante 2022
358576,500,ante 2022
358577,500,ante 2022
358578,500,ante 2022
358579,500,ante 2022
358580,500,ante 2022
358581,500,ante 2022
358582,500,ante 2022
358583,500,ante 2022
358584,500,ante 2022
358585,500,ante 2022
358586,500,ante 2022
358587,500,ante 2022
358588,500,ante 2022
358589,500,ante 2022
358590,500,ante 2022
358591,500,ante 2022
358592,500,ante 2022
358593,500,ante 2022
358594,500,ante 2022
358595,500,ante 2022
358596,500,ante 2022
358597,500,ante 2022
358598,500,ante 2022
358599,500,ante 2022
358600,500,ante 2022
358601,500,ante 2022
358602,500,ante 2022
358603,500,ante 2022
358604,500,ante 2022
358605,500,ante 2022
358606,500,ante 2022
358607,500,ante 2022
358608,500,ante 2022
358609,500,ante 2022
358610,500,ante 2022
358611,500,ante 2022
358612,500,ante 2022
358613,500,ante 2022
358614,500,ante 2022
358615,500,ante 2022
358616,500,ante 2022
358617,500,ante 2022
358618,500,ante 2022
358619,500,ante 2022
358620,500,ante 2022
358621,500,ante 2022
358622,500,ante 2022
358623,500,ante 2022
358624,500,ante 2022
358625,500,ante 2022
358626,500,ante 2022
358627,500,ante 2022
358628,500,ante 2022
358629,500,ante 2022
358630,500,ante 2022
358631,500,ante 2022
358632,500,ante 2022
358633,500,ante 2022
358634,500,ante 2022
358635,500,ante 2022
358636,500,ante 2022
358637,500,ante 2022
358638,500,ante 2022
358639,500,ante 2022
358640,500,ante 2022
358641,500,ante 2022
358642,500,ante 2022
358643,500,ante 2022
358644,500,ante 2022
358645,500,ante 2022
358646,500,ante 2022
358647,500,ante 2022
358648,500,ante 2022
358649,500,ante 2022
358650,500,ante 2022
358651,500,ante 2022
358652,500,ante 2022
358653,500,ante 2022
358654,500,ante 2022
358655,500,ante 2022
358656,500,ante 2022
358657,500,ante 2022
358658,500,ante 2022
358659,500,ante 2022
358660,500,ante 2022
358661,500,ante 2022
358662,500,ante 2022
358663,500,ante 2022
358664,500,ante 2022
358665,500,ante 2022
358666,500,ante 2022
358667,500,ante 2022
358668,500,ante 2022
358669,500,ante 2022
358670,500,ante 2022
358671,500,ante 2022
358672,500,ante 2022
358673,500,ante 2022
358674,500,ante 2022
358675,500,ante 2022
358676,500,ante 2022
358677,500,ante 2022
358678,500,ante 2022
358679,500,ante 2022
358680,500,ante 2022
358681,500,ante 2022
358682,500,ante 2022
358683,500,ante 2022
358684,500,ante 2022
358685,500,ante 2022
358686,500,ante 2022
358687,500,ante 2022
358688,500,ante 2022
358689,500,ante 2022
358690,500,ante 2022
358691,500,ante 2022
358692,500,ante 2022
358693,500,ante 2022
358694,500,ante 2022
358695,500,ante 2022
358696,500,ante 2022
358697,500,ante 2022
358698,500,ante 2022
358699,500,ante 2022
358700,500,ante 2022
358701,500,ante 2022
358702,500,ante 2022
358703,500,ante 2022
358704,500,ante 2022
358705,500,ante 2022
358706,500,ante 2022
358707,500,ante 2022
358708,500,ante 2022
358709,500,ante 2022
358710,500,ante 2022
358711,500,ante 2022
358712,500,ante 2022
358713,500,ante 2022
358714,500,ante 2022
358715,500,ante 2022
358716,500,ante 2022
358717,500,ante 2022
358718,500,ante 2022
358719,500,ante 2022
358720,500,ante 2022
358721,500,ante 2022
358722,500,ante 2022
358723,500,ante 2022
358724,500,ante 2022
358725,500,ante 2022
358726,500,ante 2022
358727,500,ante 2022
358728,500,ante 2022
358729,500,ante 2022
358730,500,ante 2022
358731,500,ante 2022
358732,500,ante 2022
358733,500,ante 2022
358734,500,ante 2022
358735,500,ante 2022
358736,500,ante 2022
358737,500,ante 2022
358738,500,ante 2022
358739,500,ante 2022
358740,500,ante 2022
358741,500,ante 2022
358742,500,ante 2022
358743,500,ante 2022
358744,500,ante 2022
358745,500,ante 2022
358746,500,ante 2022
358747,500,ante 2022
358748,500,ante 2022
358749,500,ante 2022
358750,500,ante 2022
358751,500,ante 2022
358752,500,ante 2022
358753,500,ante 2022
358754,500,ante 2022
358755,500,ante 2022
358756,500,ante 2022
358757,500,ante 2022
358758,500,ante 2022
358759,500,ante 2022
324750,500,2008
324751,500,2008
324752,500,2008
324753,500,2008
