id,nctn,invn,suffix,tsk,lir,ogtd,cls,controllo_inventario,rifatta,
1,1600000001,16001,,RA,C,Ansa di capeduncola,,1,f,
2,1600000002,16002,,RA,C,Ansa di capeduncola,,1,f,
3,1600000003,16003,,RA,C,Ansa di capeduncola,,1,f,
4,1600000004,16004,,RA,C,Ansa di capeduncola,,1,f,
5,1600000005,16005,,RA,C,Ansa di capeduncola,,1,f,
6,1600000006,16006,,RA,C,Ansa di capeduncola,,1,f,
7,1600000007,16007,,RA,C,Ansa di capeduncola,,1,f,
8,1600000008,16008,,RA,C,Ansa di capeduncola,,1,f,
9,1600000009,16009,,RA,C,Ansa di capeduncola,,1,f,
10,1600000010,16010,,RA,C,Ansa di capeduncola,,1,f,
11,1600000011,16011,,RA,C,Ansa di capeduncola,,1,f,
12,1600000012,16012,,RA,C,Frammento di capeduncola,,1,f,
13,1600000013,16013,,RA,C,Ansa di capeduncola,,1,f,
14,1600000014,16014 a-b,,RA,C,Ansa di capeduncola,,2,f,
15,1600000015,16015,,RA,C,Ansa di capeduncola,,1,f,
16,1600000016,16016,,RA,C,Frammento di capeduncola,,1,f,
17,1600000017,16017,,RA,C,Frammento di capeduncola,,1,f,
18,1600000018,16018,,RA,C,Frammento di capeduncola,,1,f,
19,1600000019,16019,,RA,C,Ansa di capeduncola,,1,f,
20,1600000020,16020 a-b,,RA,C,Frammento di capeduncola/Ansa di capeduncola,,2,f,
21,1600000021,16021,,RA,C,Ansa di capeduncola,,1,f,
22,1600000022,16022,,RA,C,Ansa di capeduncola,,1,f,
23,1600000023,16023,,RA,C,Ansa di capeduncola,,1,f,
24,1600000024,16024 a-b,,RA,C,Frammento di capeduncola/Ansa di capeduncola,,2,f,
25,1600000025,16025 a-b,,RA,C,Frammento di capeduncola,,2,f,
26,1600000026,16026 a-b,,RA,C,Ansa di capeduncola,,2,f,
27,1600000027,16027 a-b,,RA,C,Frammento di capeduncola/Ansa di capeduncola,,2,f,
28,1600000028,16028,,RA,C,Ansa di capeduncola,,1,f,
29,1600000029,16029,,RA,C,Ansa di capeduncola,,1,f,
30,1600000030,16030,,RA,C,Ansa di capeduncola,,1,f,
31,1600000031,16031,,RA,C,Ansa di capeduncola,,1,f,
32,1600000032,16032 a-b,,RA,C,Ansa di capeduncola,,2,f,
33,1600000033,16033 a-c,,RA,C,Ansa di capeduncola,,2,f,
34,1600000034,16034,,RA,C,Ansa di capeduncola,,1,f,
35,1600000035,16035,,RA,C,Ansa di capeduncola,,1,f,
36,1600000036,16036,,RA,C,Ansa di capeduncola,,1,f,
37,1600000037,16037 a-b,,RA,C,Ansa di capeduncola,,2,f,
38,1600000038,16038 a-b,,RA,C,Ansa di capeduncola,,2,f,
39,1600000039,16039 a-b,,RA,C,Frammento di capeduncola,,2,f,
40,1600000040,16040,,RA,C,Frammento di capeduncola,,1,f,
41,1600000041,16041,,RA,C,Frammento di capeduncola,,1,f,
42,1600000042,16042,,RA,C,Ansa di capeduncola,,1,f,
43,1600000043,16043,,RA,C,Ansa di capeduncola,,1,f,
44,1600000044,16044 a-b,,RA,C,Ansa di capeduncola,,2,f,
45,1600000045,16045,,RA,C,Ansa di capeduncola,,1,f,
46,1600000046,16046,,RA,C,Ansa di capeduncola,,1,f,
47,1600000047,16047,,RA,C,Ansa di capeduncola,,1,f,
48,1600000048,16048,,RA,C,Ansa di capeduncola,,1,f,
49,1600000049,16049,,RA,C,Ansa di capeduncola,,1,f,
50,1600000050,16050,,RA,C,Ansa di capeduncola,,1,f,
51,1600000051,16051 a-b,,RA,C,Ansa di capeduncola,,2,f,
52,1600000052,16052,,RA,C,Ansa di capeduncola,,1,f,
53,1600000053,16053 a-b,,RA,C,Ansa di capeduncola,,2,f,
54,1600000054,16054,,RA,C,Ansa di capeduncola,,1,f,
55,1600000055,16055,,RA,C,Ansa di capeduncola,,1,f,
56,1600000056,16056,,RA,C,Ansa di capeduncola,,1,f,
57,1600000057,16057,,RA,C,Ansa di capeduncola,,1,f,
58,1600000058,16058,,RA,C,Ansa di capeduncola,,1,f,
59,1600000059,16059,,RA,C,Ansa di capeduncola,,1,f,
60,1600000060,16060,,RA,C,Ansa di capeduncola,,1,f,
61,1600000061,16061,,RA,C,Ansa di capeduncola,,1,f,
62,1600000062,16062,,RA,C,Ansa di capeduncola,,1,f,
63,1600000063,16063,,RA,C,Ansa di capeduncola,,1,f,
64,1600000064,16064,,RA,C,Ansa di capeduncola,,1,f,
65,1600000065,16065,,RA,C,Frammento di capeduncola,,1,f,
66,1600000066,16066,,RA,C,Frammento di capeduncola,,1,f,
67,1600000067,16067,,RA,C,Ansa di capeduncola,,1,f,
68,1600000068,16068,,RA,C,Frammento di capeduncola,,1,f,
69,1600000069,16069,,RA,C,Frammento di capeduncola,,1,f,
70,1600000070,16070,,RA,C,Ansa di capeduncola,,1,f,
71,1600000071,16071,,RA,C,Ansa di capeduncola,,1,f,
72,1600000072,16072,,RA,C,Frammento di capeduncola,,1,f,
73,1600000073,16073,,RA,C,Ansa di capeduncola,,1,f,
