id,categoria_l1,categoria_l2,categoria_l3,ogtd_l4,ogtd_specifiche_l5
1,ABBIGLIAMENTO E ORNAMENTI PERSONALI,ACCESSORI,ACCESSORI,alamaro,
1,ABBIGLIAMENTO E ORNAMENTI PERSONALI,ACCESSORI,ACCESSORI,balteus,fibbia di aggancio
1,ABBIGLIAMENTO E ORNAMENTI PERSONALI,ACCESSORI,ACCESSORI,borchia,
1,ABBIGLIAMENTO E ORNAMENTI PERSONALI,ACCESSORI,ACCESSORI,bottone,a calotta
1,ABBIGLIAMENTO E ORNAMENTI PERSONALI,ACCESSORI,ACCESSORI,brassard,con custodia
1,ABBIGLIAMENTO E ORNAMENTI PERSONALI,ACCESSORI,ACCESSORI,brattea,
1,ABBIGLIAMENTO E ORNAMENTI PERSONALI,ACCESSORI,ACCESSORI,cingulum,borchia
1,ABBIGLIAMENTO E ORNAMENTI PERSONALI,ACCESSORI,ACCESSORI,cingulum,fibbia di aggancio
1,ABBIGLIAMENTO E ORNAMENTI PERSONALI,ACCESSORI,ACCESSORI,cingulum,lamina
1,ABBIGLIAMENTO E ORNAMENTI PERSONALI,ACCESSORI,ACCESSORI,cingulum,pendente
1,ABBIGLIAMENTO E ORNAMENTI PERSONALI,ACCESSORI,ACCESSORI,cintura,a fascia
1,ABBIGLIAMENTO E ORNAMENTI PERSONALI,ACCESSORI,ACCESSORI,cintura,affibbiaglio
1,ABBIGLIAMENTO E ORNAMENTI PERSONALI,ACCESSORI,ACCESSORI,cintura,a losanga
1,ABBIGLIAMENTO E ORNAMENTI PERSONALI,ACCESSORI,ACCESSORI,cintura,a placche
1,ABBIGLIAMENTO E ORNAMENTI PERSONALI,ACCESSORI,ACCESSORI,cintura,borchia
1,ABBIGLIAMENTO E ORNAMENTI PERSONALI,ACCESSORI,ACCESSORI,cintura,controplacca
1,ABBIGLIAMENTO E ORNAMENTI PERSONALI,ACCESSORI,ACCESSORI,cintura,fibbia
1,ABBIGLIAMENTO E ORNAMENTI PERSONALI,ACCESSORI,ACCESSORI,cintura,gancio
1,ABBIGLIAMENTO E ORNAMENTI PERSONALI,ACCESSORI,ACCESSORI,cintura,lamina
1,ABBIGLIAMENTO E ORNAMENTI PERSONALI,ACCESSORI,ACCESSORI,cintura,linguetta
1,ABBIGLIAMENTO E ORNAMENTI PERSONALI,ACCESSORI,ACCESSORI,cintura,multipla
1,ABBIGLIAMENTO E ORNAMENTI PERSONALI,ACCESSORI,ACCESSORI,cintura,passante
1,ABBIGLIAMENTO E ORNAMENTI PERSONALI,ACCESSORI,ACCESSORI,cintura,per la sospensione delle armi
1,ABBIGLIAMENTO E ORNAMENTI PERSONALI,ACCESSORI,ACCESSORI,cintura,placca
1,ABBIGLIAMENTO E ORNAMENTI PERSONALI,ACCESSORI,ACCESSORI,cintura,puntale
1,ABBIGLIAMENTO E ORNAMENTI PERSONALI,ACCESSORI,ACCESSORI,cintura,puntale secondario
1,ABBIGLIAMENTO E ORNAMENTI PERSONALI,ACCESSORI,ACCESSORI,cinturone,
1,ABBIGLIAMENTO E ORNAMENTI PERSONALI,ACCESSORI,ACCESSORI,clavus,
1,ABBIGLIAMENTO E ORNAMENTI PERSONALI,ACCESSORI,ACCESSORI,falera,
1,ABBIGLIAMENTO E ORNAMENTI PERSONALI,ACCESSORI,ACCESSORI,fibbia,ardiglione
1,ABBIGLIAMENTO E ORNAMENTI PERSONALI,ACCESSORI,ACCESSORI,fibbia,di aggancio
1,ABBIGLIAMENTO E ORNAMENTI PERSONALI,ACCESSORI,ACCESSORI,fibbia,gancio
1,ABBIGLIAMENTO E ORNAMENTI PERSONALI,ACCESSORI,ACCESSORI,fibbia,placca
1,ABBIGLIAMENTO E ORNAMENTI PERSONALI,ACCESSORI,ACCESSORI,fibula,ad arco a coste
1,ABBIGLIAMENTO E ORNAMENTI PERSONALI,ACCESSORI,ACCESSORI,fibula,ad arco a dischi
1,ABBIGLIAMENTO E ORNAMENTI PERSONALI,ACCESSORI,ACCESSORI,fibula,ad arco a occhielli e spirali coniche
1,ABBIGLIAMENTO E ORNAMENTI PERSONALI,ACCESSORI,ACCESSORI,fibula,ad arco a ponticello
1,ABBIGLIAMENTO E ORNAMENTI PERSONALI,ACCESSORI,ACCESSORI,fibula,ad arco con serie di occhielli
1,ABBIGLIAMENTO E ORNAMENTI PERSONALI,ACCESSORI,ACCESSORI,fibula,ad arco di violino
1,ABBIGLIAMENTO E ORNAMENTI PERSONALI,ACCESSORI,ACCESSORI,fibula,ad arco di violino a doppia foglia
1,ABBIGLIAMENTO E ORNAMENTI PERSONALI,ACCESSORI,ACCESSORI,fibula,ad arco di violino asimmetrico
