nctn,stima,munsell
322869,100,10YR 7/3
325903,300,10YR 7/3
326045,100,2.5Y 8/4
326224,1600,2.5Y 7/3
326226,200,10YR 7/3
326238,50,2.5Y 7/3
326240,800,7.5YR 6/4
328135,1200,10YR 6/3
329315,1200,10YR 7/3
331062,58,10YR 6/2
331139,50,10YR 8/1
334252,1200,7.5YR 6/3
334408,400.00,5YR 6/4
334412,50,10YR 7/3
334413,50,10YR 5/3
334414,50,10YR 7/3
334416,1000,10YR 7/3
334417,800,10YR 6/3
334418,500,5YR 5/4
345263,400,10YR 7/3
349862,30,7.5YR 6/4
359657,50,10YR 7/3
359658,10,10YR 7/3
359660,30,10YR 7/2
359661,40,2.5Y 7/3
359673,800,10YR 7/3
359674,100,7.5YR 7/4
359676,50,10YR 7/3
359677,60,2.5YR 6/6
359679,150,10YR 7/4
359680,100,10YR 7/3
359683,50,10YR 7/3
359687,50,2.5Y 7/3
359688,100,10YR 7/3
359690,70,10YR 7/2
359691,800,10YR 7/3
359693,60,5YR 6/4
359694,60,10YR 7/4
359695,60,10YR 7/4
359697,100,5YR 6/4
359698,50,7.5YR 6/4
359700,50,7.5YR 6/3
359701,50,5YR 6/6
359702,30,7.5YR 5/3
359703,10,7.5YR 6/4
359704,90,5YR 6/6
359705,10,7.5YR 7/4
359706,5,10YR 6/3
359707,5,7.5YR 6/3
359708,90,10YR 7/3
359718,80,10YR 7/3
359722,70,10YR 7/4
359724,50,7.5YR 6/4
359725,100,2.5Y 7/3
359726,50,10YR 7/3
359727,40,2.5Y 7/3
359728,30,5YR 6/6
359729,50,5YR 6/6
359731,120,10YR 7/4
359732,90,10YR 7/3
359733,80,10YR 7/4
359734,60,10YR 7/3
359735,60,10YR 7/3
359736,70,7.5YR 6/4
359737,70,7.5YR 6/4
359738,70,7.5YR 6/3
359739,60,10YR 6/3
359740,50,10YR 7/3
359741,50,2.5Y 7/3
359742,50,10YR 7/3
359743,50,2.5Y 7/3
359744,50,2.5Y 7/3
359745,60,2.5Y 8/3
359746,50,10YR 7/3
359747,50,10YR 7/3
359748,50,5YR 6/4
359750,40,10YR 7/3
359752,50,10YR 7/3
359753,70,7.5YR 6/3
359754,50,7.5YR 6/4
359755,70,10YR 7/3
359756,3000,5YR 6/4
359757,50,5YR 6/6
359758,100,7.5YR 6/4
359760,50,7.5YR 6/4
359761,50,5YR 6/6
359764,50,10YR 7/4
359765,60,7.5YR 6/4
359767,40,10YR 7/3
359771,100,10YR 7/3
359772,40,10YR 7/3
359773,1500,7.5YR 6/3
359774,1000,7.5YR 7/4
359775,800,7.5YR 6/4
359776,800,7.5YR 6/4
359777,800,10YR 7/3
359788,40,10YR 6/3
359789,40,10YR 7/3
359911,80,7.5YR 6/4
359915,2500,7.5YR 6/4
359917,50,7.5YR 6/4
359919,100,10YR 7/3
359922,90,5YR 6/4
359923,100,7.5YR 6/4
359924,1000,10YR 7/3
359926,1200,10YR 7/3
359929,50,7.5YR 7/6
359930,80,10YR 7/4
359932,300,10YR 7/4
359933,200,5YR 6/6
359934,150,7.5YR 6/4
359937,70,5YR 6/4
360061,40,10YR 6/4
360065,50,10YR 6/4
360070,180,10YR 7/3
360071,50,10YR 6/3
360078,1000,10YR 7/3
360080,30,7.5YR 7/4
360087,1500,7.5YR 7/4
360088,30,10YR 7/4
360089,30,10YR 7/4
360091,30,5Y 8/3
360092,100,10YR 7/3
360095,15000,7.5YR 6/3
360103,40,5YR 6/6
360106,30,7.5YR 6/4
360111,60,10YR 7/4
360112,50,2.5Y 7/3
360115,80,5YR 6/4
360116,600,2.5Y 7/4
360118,50,10YR 7/4
360119,300,7.5YR 6/4
360120,60,5YR 6/6
360122,50,10YR 7/4
360124,50,10YR 7/3
360126,10,2.5Y 6/3
360129,800,10YR 7/4
360130,150,7.5YR 6/4
360131,150,7.5YR 6/4
360132,800,2.5YR 6/6
360134,50,5YR 6/4
360136,50,10YR 7/3
360137,40,10YR 5/3
360139,100,7.5YR 5/4
360140,150,10YR 6/4
360141,50,7.5YR 6/4
360143,35,10YR 6/3
360144,15,7.5YR 6/4
360145,500,5YR 6/4
360146,800,10YR 7/4
360148,100,2.5Y 7/3
360150,500,5YR 6/4
360152,80,5YR 6/4
360153,100,5YR 6/6
360154,2000,5YR 6/6
360155,100,5YR 6/4
360156,50,10YR 6/3
360158,35,5YR 5/3
360159,250,5YR 5/4
360160,150,7.5YR 7/4
360164,50,5YR 5/4
360167,100,10YR 7/4
360168,50,7.5YR 6/4
360172,30,7.5YR 6/6
360173,1000,5YR 6/4
360174,150,2.5Y 7/3
360175,50,10YR 7/3
360177,200,10YR 6/3
360178,200,10YR 7/3
360179,130,7.5YR 5/3
360180,50,5YR 6/4
360181,90,7.5YR 6/4
360183,50,10YR 6/3
360185,150,10YR 7/3
360186,150,5YR 6/4
360191,150,10YR 6/3
360196,80,10YR 7/3
360197,150,7.5YR 6/4
360201,1000,7.5YR 6/4
360206,30,2.5Y 7/3
360207,25,7.5YR 6/4
360209,1500,10YR 7/4
360211,120,10YR 6/4
360212,70,7.5YR 6/4
360213,40,10YR 7/3
360214,70,7.5YR 6/4
360215,250,7.5YR 6/4
360221,25,2.5Y 7/3
360222,25,10YR 7/3
360223,100,5YR 6/6
360225,20,7.5YR 6/4
360226,120,10YR 7/3
360227,150,7.5YR 5/4
360228,100,10YR 7/4
360229,40,10YR 7/3
360230,80,7.5YR 6/4
360231,150,5YR 6/6
360232,120,10YR 6/4
360234,60,10YR 7/4
360236,100,10YR 7/4
360237,700,10YR 7/3
360238,50,7.5YR 6/4
360240,200,2.5Y 7/3
360242,900,7.5YR 7/4
360244,2500,2.5YR 5/6
360245,3000,5YR 6/4
360246,150,10YR 6/4
360247,500,5YR 6/4
360251,40,7.5YR 5/4
360252,20,5Y 8/3
360253,130,10YR 7/4
360254,180,10YR 7/3
360255,220,7.5YR 5/3
360259,90,2.5YR 6/6
360262,35,7.5YR 5/3
360263,40,7.5YR 6/4
360264,50,7.5YR 6/4
360265,100,7.5YR 5/3
360266,80,10YR 7/4
360267,130,10YR 7/4
360269,30,7.5YR 6/3
360271,70,7.5YR 6/4
360272,30,7.5YR 6/4
360273,80,7.5YR 5/3
360274,100,7.5YR 6/4
360275,70,10YR 7/4
360276,200,7.5YR 6/4
360280,15,10YR 6/4
360281,15,10YR 6/4
360282,15,10YR 6/4
360283,15,10YR 6/4
360284,40,2.5Y 7/3
360285,40,10YR 7/3
360286,500,5YR 6/4
360287,90,7.5YR 6/4
360288,150,5YR 6/4
360289,70,7.5YR 6/4
360290,35,10YR 7/4
360292,600,10YR 6/3
360294,60,5YR 6/6
360295,70,10YR 7/4
360297,20,7.5YR 6/4
360298,90,10YR 7/3
360300,90,7.5YR 6/3
360301,120,10YR 7/3
360302,200,5YR 5/4
360303,130,7.5YR 6/3
360304,200,10YR 7/4
360305,40,7.5YR 6/4
360308,1200,10YR 6/3
360309,350,10YR 7/3
360312,30,10YR 7/3
360313,50,10YR 7/3
360314,50,10YR 7/4
360319,120,10YR 7/4
360320,90,7.5YR 6/4
360324,60,10YR 6/3
360325,150,10YR 6/4
360328,150,10YR 7/4
360330,200,5YR 5/6
360331,130,2.5Y 7/4
360332,160,5YR 6/4
360333,120,5YR 6/4
360334,30,10YR 7/4
360335,70,5YR 6/6
360336,400,7.5YR 6/4
360338,25,10YR 7/4
360339,25,7.5YR 6/4
360341,90,7.5YR 6/4
360343,90,10YR 7/4
360347,45,10YR 6/3
360348,40,10YR 7/4
360349,150,10YR 7/3
360350,60,7.5YR 6/3
360351,60,7.5YR 6/3
360352,50,2.5YR 5/6
360353,130,7.5YR 5/4
360354,130,2.5YR 6/6
360358,50,10YR 6/4
360359,80,10YR 7/4
360360,120,10YR 7/3
360362,50,7.5YR 5/4
360364,1500,7.5YR 7/4
360365,800,10YR 7/3
360366,1300,10YR 7/4
360367,1800,2.5Y 7/3
360368,1000,2.5Y 7/3
360371,350,5YR 6/6
360372,30,10YR 7/3
360373,50,10YR 7/3
360374,600,5YR 6/4
360375,60,10YR 6/4
360376,40,7.5YR 5/4
360377,80,2.5YR 6/6
360378,1000,10YR 6/3
360379,700,7.5YR 7/3
360380,800,10YR 6/3
360381,700,10YR 6/3
360382,23,7.5YR 6/3
360383,23,10YR 7/3
360384,23,10YR 6/3
360385,23,10YR 6/3
360386,23,10YR 7/3
360387,23,10YR 6/3
360388,23,10YR 7/4
360389,23,10YR 6/3
360390,23,7.5YR 6/3
360392,50,5YR 6/4
360395,30,5YR 6/6
360397,150,5YR 6/6
360398,1000,7.5YR 6/3
360400,130,10YR 7/4
360402,50,10YR 6/4
360403,100,5YR 6/6
360404,70,10YR 7/3
360407,180,10YR 7/4
360413,100,5YR 5/4
360414,50,7.5YR 6/4
360415,50,10YR 7/3
360417,100,10YR 7/3
360418,130,5YR 6/6
360419,80,10YR 6/3
360421,150,2.5YR 6/6
360422,100,7.5YR 6/3
360423,80,5YR 6/4
360424,18,5Y 7/2
360425,18,5Y 7/2
360426,10,5Y 7/2
360427,18,5Y 7/2
360428,18,5Y 7/2
360429,18,5Y 7/2
360430,150,5YR 6/4
360431,100,10YR 7/3
360433,100,5YR 6/4
360434,30,10YR 6/3
360435,80,7.5YR 6/4
360436,25,2.5Y 7/3
360437,100,2.5Y 6/3
360438,50,2.5Y 6/3
360440,150,2.5Y 7/2
360441,50,5YR 6/4
360442,300,10YR 6/3
360443,50,5YR 6/3
360444,100,10YR 6/3
360445,50,7.5YR 6/4
360447,200,5YR 5/4
360450,100,7.5YR 5/3
360451,700,7.5YR 6/3
360455,100,5YR 5/4
360456,70,7.5YR 6/4
360457,40,10YR 7/3
360459,800,7.5YR 6/4
360460,10,5YR 6/6
360461,10,10YR 7/3
360463,90,10YR 7/3
360464,20,7.5YR 6/3
360465,80,7.5YR 5/3
360469,50,10YR 7/4
360470,300,7.5YR 7/4
360474,80,10YR 7/3
360475,50,5YR 6/6
360476,200,2.5YR 4/3
360535,150,7.5YR 6/3
360536,35,10YR 7/3
360537,35,10YR 7/3
360538,35,10YR 7/3
360539,14,10YR 6/3
360540,14,10YR 6/2
360541,14,10YR 6/3
360542,150,2.5YR 6/6
360543,150,10YR 6/3
360544,25,5YR 6/4
360545,100,5YR 6/4
360547,200,10YR 7/4
360550,120,10YR 6/4
360551,40,7.5YR 5/2
360553,30,10YR 6/4
360557,30,7.5YR 7/6
360558,25,7.5YR 7/6
360560,20,7.5YR 6/6
360563,130,10YR 7/4
360564,30,10YR 7/4
360567,2000,10YR 7/3
360568,70,7.5YR 6/4
360569,40,10YR 7/4
360570,2500,10YR 6/3
360573,150,5YR 6/4
360575,750,2.5Y 7/4
360578,120,10YR 7/3
360579,50,10YR 7/3
360580,5000,5YR 6/4
360583,100,2.5YR 6/6
360586,250,7.5YR 6/4
360587,50,7.5YR 5/4
360588,200,7.5YR 7/6
360589,200,2.5YR 6/6
360590,30,10YR 6/3
360591,40,5YR 6/6
360592,50,10YR 7/4
360593,50,5Y 8/3
360594,40,10YR 7/4
360595,30,10YR 7/4
360596,50,7.5YR 7/3
360597,80,2.5Y 6/3
360598,50,10YR 7/3
360600,25,5Y 8/3
360601,2500,10YR 7/3
360602,600,10YR 7/4
360603,200,10YR 7/3
360604,2800,10YR 7/3
360606,50,2.5Y 7/3
360607,50,7.5YR 5/3
360610,25,10YR 7/3
360612,1500,2.5Y 7/4
360614,250,5Y 7/3
360615,300,7.5YR 5/3
360616,70,5YR 6/6
360617,120,5YR 5/4
360621,35,7.5YR 6/4
360631,40,2.5Y 7/3
360638,25,7.5YR 6/4
360640,120,10YR 7/4
360641,180,2.5YR 5/6
360645,40,10YR 6/4
360646,50,7.5YR 6/4
360647,50,7.5YR 7/6
360652,50,10YR 7/4
360653,70,10YR 7/4
360655,70,7.5YR 6/4
360656,25,10YR 7/4
360658,60,10YR 7/3
360665,30,10YR 6/2
360666,2000,2.5Y 5/3
360670,1500,7.5YR 6/4
360671,50,5YR 6/6
360672,500,10YR 7/3
360673,70,10YR 7/4
360674,250,2.5YR 5/6
360675,60,7.5YR 6/4
360676,700,7.5YR 7/4
360683,200,7.5YR 6/4
360689,150,10YR 7/4
360690,60,10YR 7/3
360777,1000,2.5YR 5/4
360778,80,10YR 7/3
360780,170,5YR 6/4
360782,50,7.5YR 6/3
360784,50,5YR 6/4
360785,15,10YR 7/3
360786,15,10YR 7/3
360788,600,5YR 5/4
360789,400,5YR 6/4
360790,80,2.5YR 6/6
360792,60,7.5YR 5/4
360794,70,5YR 5/4
360797,2000,10YR 7/3
360798,1500,10YR 7/3
360799,2000,10YR 6/3
360800,1500,10YR 7/3
360801,2000,10YR 7/2
360802,1500,7.5YR 7/3
360803,2000,10YR 7/3
360804,300,10YR 7/3
360805,100,2.5Y 7/3
360806,100,2.5Y 7/3
360807,1000,2.5Y 7/3
360808,300,10YR 7/3
360809,500,10YR 7/3
360810,200,2.5Y 7/3
360811,60,7.5YR 6/4
360812,60,2.5Y 7/3
360813,1500,5Y 7/2
360814,50,10YR 6/3
360815,50,10YR 6/4
360816,50,7.5YR 6/4
360817,50,10YR 6/3
360818,50,10YR 6/3
