id,scheda,misa,misl,misp
105,,141,470,
76,,25,19,12.5
82,,10,10.2,3
26,,32,73,62
81,,16.5,14.4,4
5,,197,34,34
6,,190,36,36
7,,187,34,34
8,,169,46,46
10,,111,34,34
9,,174,36,36
79,,13.7,12,4.3
80,,12.8,11,4.8
100,,22,36,6
142,,32.6,38.7,1.6
83,,38,32,5
102,,26,12,12
59,,27,31.8,3.8
65,,28.8,38,4
66,,16.1,20,5
77,,32,10,18
78,,31,12.3,21
90,,17,12.5,5.5
89,,30,58,3
101,,13,50,3
56,,14,32.6,21.5
155,,85,67.3,1.5
164,,16,51.5,20.5
73,,21,17,9
63,,21.1,29.2,5
91,,14,12.5,3.2
153,,27.5,20.8,1.3
154,,96.6,66.1,1.4
70,,15.6,46.7,1.8
64,,29.6,51.7,2.3
69,,166,359,
11,,222,123,
160,,218,119,
161,,159,121,
33,,89.4,82.5,17.4
25,,62,197,28.5
29,,25.2,81,14.2
31,,39.5,107,19.4
27,,31,76,40.2
34,,94.9,146,36.8
28,,101.2,60,56
60,,62.5,72.2,10
57,,62.6,37,11.3
108,,57,32.2,7.9
152,,12,25,8
62,,53,70,30.5
138,,51,37.5,9.1
52,,95,61.5,31
53,,80,56,56
124,,250,150,76
166,,22.5,60,44.5
20,,23,37,37
21,,23,37,37
22,,21.2,25,25
39,,7.8,27.5,27.5
40,,19.2,24,24
41,,8.6,25.8,25.8
42,,20.2,23.9,23.9
43,,14.8,22.4,22.4
44,,15.2,18.2,18.2
45,,18.8,21.6,21.6
47,,20.5,25.4,25.4
48,,20.7,24.5,24.5
30,,18.5,75.5,17
94,,212,174,
95,,175,104,
96,,247,140,
92,,194,175,
158,,200,177,
148,,133,148,
147,,140,93,
143,,85,85,
144,,83,69,
145,,104,135,
146,,64,64,
149,,164,294,
99,,216,299,
157,,459,300,
35,,104,89,19
36,,105,88,21
1,,240,44,44
3,,265,40,40
4,,255,34,34
119,,29.8,30.4,2.5
120,,25,31,2.5
122,,30.6,21.4,2.4
121,,24,45.4,5
55,,18,24.5,3
18,,42,38,38
19,,37,37,37
85,,16,102,49
2,,260,34,34
126,,26.1,29.2,1.5
128,,23.2,34.8,1.5
72,,20,151.5,92
71,,39.5,129,67
12,,20,26,1.2
75,,56,11.5,19
106,,29.8,24.7,2.5
127,,30,21.2,2.5
165,,52.5,191,115
84,,16,76,6
141,,60.5,48.6,2.9
125,,44.5,27.7,6
162,,147,235,
13,,94,94,
14,,50.5,55.5,45
163,,47.5,91.5,8
172,,44,94.5,64
37,,56.8,90.5,24.8
107,,80.4,34.6,11.1
140,,98,42,9
58,,25,40,36
109,,89,25.9,15.3
112,,61.5,39,7.5
113,,46,44,11
114,,113,55,14
115,,41,30.5,7.9
116,,89,43.3,12
130,,94.5,39.5,12
131,,51.8,49.4,6.8
136,,52.8,42,9.2
137,,78.5,38.8,8
111,,82.3,41,8.6
74,,68,33.5,30
117,,88,52,52
118,,63,43,43
110,,63,37,23
49,,71,45,45
132,,77,52.5,8
50,,78,64,38
51,,56.5,55,36
54,,50,80,39
156,,47,25,10.2
135,,30.5,28.4,7.7
123,,186,101,
133,,61,34.2,11
134,,67.5,42.5,10
139,,101,42.2,11.5
15,,15.5,30.5,26
16,,17,32.5,27
17,,10.5,33,22
167,,22.5,60,44.5
169,,22.5,60,44.5
171,,22.5,60,44.5
93,,177,178,
67,,59,129,
103,,310,320,
104,,290,410,
150,,194,233,
159,,250,183,
68,,138,195,
98,,355,315,
97,,400,395,
88,,11,56,4
129,,19.8,25.4,2.2
151,,22,22,1.5
86,,12,63,3
87,,16,114,57
61,,46.2,175,23
