id,dtm
1,13
2,13
3,13
3,16
4,13
4,16
5,13
6,13
7,13
8,13
9,13
10,13
11,13
12,13
13,13
14,13
15,13
16,13
17,13
18,13
19,13
20,8
21,13
22,8
23,13
24,13
25,13
26,13
27,13
28,13
29,13
30,13
31,13
32,13
33,13
34,13
35,13
36,13
37,13
38,13
39,13
40,13
40,16
41,13
41,16
42,13
42,16
43,13
43,16
44,13
44,16
45,13
45,16
46,13
47,13
48,13
49,13
50,13
51,13
52,13
53,13
54,13
55,13
56,13
57,13
58,13
59,13
60,13
61,13
62,13
63,13
64,8
64,11
65,8
65,11
66,8
66,11
67,8
67,11
68,8
68,11
69,8
69,11
70,8
70,11
71,8
71,11
72,8
72,11
73,8
73,11
74,8
74,11
75,8
75,11
76,8
76,11
77,13
78,13
79,13
80,13
81,13
82,13
83,8
83,11
84,8
84,11
85,8
85,11
86,8
86,11
87,8
87,11
88,13
89,13
90,13
91,13
92,13
93,13
94,13
95,13
96,13
97,13
98,13
99,13
100,13
101,13
102,13
103,13
104,13
105,13
106,13
107,13
108,13
109,13
110,13
111,13
112,13
113,13
114,13
115,8
115,11
116,8
116,11
117,16
118,8
118,11
119,8
119,11
120,16
121,8
121,11
122,8
122,11
123,8
123,11
124,8
124,11
125,13
126,13
127,13
128,13
129,13
130,13
131,13
132,13
133,13
134,13
135,13
136,13
137,13
138,13
139,13
140,13
141,13
142,13
143,13
144,13
145,13
146,13
147,13
148,13
149,13
150,13
151,13
152,13
153,13
153,16
154,13
154,16
155,11
155,8
156,11
156,8
157,11
157,8
158,11
158,8
159,11
159,8
160,11
160,8
161,11
161,8
162,11
162,8
163,11
163,8
164,11
164,8
165,11
165,8
166,11
166,8
167,13
168,13
169,13
170,13
171,13
172,13
173,13
174,13
175,13
176,13
177,13
178,13
179,13
180,13
181,13
182,13
183,13
184,13
185,13
186,13
187,13
188,13
189,13
190,13
191,13
192,13
193,13
194,13
195,13
196,13
197,13
198,13
199,13
199,16
200,13
201,13
202,13
203,13
204,13
205,13
205,16
206,13
207,13
207,16
208,13
208,16
209,16
210,16
211,16
212,13
213,13
214,13
215,13
216,13
217,13
218,13
219,13
220,13
221,13
222,8
222,11
223,8
223,11
224,8
224,11
225,13
226,13
227,13
228,13
229,13
230,13
231,13
232,13
233,13
234,13
235,13
236,11
237,13
238,13
239,13
240,13
241,13
242,13
242,16
243,13
243,16
244,13
244,16
245,13
245,16
246,13
246,16
247,13
247,16
248,13
248,16
249,13
249,16
250,13
250,16
251,13
251,16
252,13
252,16
253,13
253,16
254,13
254,16
255,13
255,16
256,13
256,16
257,16
258,8
259,11
260,11
260,16
261,11
262,11
263,11
264,11
265,16
266,8
267,11
268,11
269,8
270,8
271,8
272,8
273,8
274,8
275,8
276,8
276,13
277,8
278,8
279,8
280,8
281,8
282,8
283,8
284,8
285,8
286,15
287,11
287,16
288,11
288,16
289,11
290,11
291,11
292,11
292,16
293,11
293,16
294,11
295,11
296,11
297,11
298,11
299,11
300,11
301,11
302,16
303,13
304,13
305,13
306,13
307,16
308,16
309,13
310,13
311,13
312,13
313,13
314,16
315,16
316,16
317,15
318,13
319,13
320,13
321,13
322,13
323,13
324,13
325,16
326,11
327,11
328,11
329,11
330,11
331,11
332,13
333,13
334,16
