"id","scheda","cmpd","nctn","inventario","suffisso","titolo","l3","l4","sala","scaffale","cassetta","comune","via","geonote","dtzgi","dtzgf","dtzs","dtsi","dtsf","materia","tecnica","misa","misl","misp","deso","stcc","oss","stima"
1369,,44630,329835,20006,,"Contursi-329835",31,231,3,2,38,108,"Via Di Palma 57",,26,27,,,,25,128,24,,,"Statua fittile a tutto tondo di guerriero. Si conserva solo il busto, coperto dalla clamide, e le gambe, fortemente divaricate, su cui si intravedono gli schinieri. Le gambe sono modellate accuratamente, il busto è schematico.",8,"28.11.1923. Deposito di terracotte in fossa rettangolare.",
1195,,44789,329802,20022,,"Contursi-329802",31,232,3,3,33,108,"Via Duca di Genova",,25,25,22,,,25,67,"29.5",18,,"Figurina fittile femminile in trono. Si conserva solo la parte superiore, con il viso incorniciato da ciocche di capelli a scriminatura centrale. Le labbra sono serrate, gli occhi piccoli. Indossa un chitone a pieghe che scendono a v tra i seni, e un basso polos sul capo.",8,"ripostiglio di terrecotte",
1196,,44733,329804,20029,,"Contursi-329804",31,232,3,3,33,108,"Via Duca di Genova",,25,25,22,,,25,67,"29.5","20.5",,"Figurina fittile femminile in trono. Si conserva solo la parte inferiore, con il chitone a fitte pieghe e l'himation che coprono le gambe. Le braccia portate in avanti poggiano sui braccioli del trono, modanati al centro. I piedi poggiano su diphros.",8,"ripostiglio di terrecotte",
1206,,44674,329803,20027,,"Contursi-329803",31,232,3,3,33,108,"Via Duca di Genova",,25,25,22,,,25,67,"23.5",21,,"Figurina fittile femminile con fiaccola. Si conserva solo la parte superiore. Le labbra sono serrate, gli occhi piccoli, i capelli in piccole ciocche mosse sono rivolti indietro. Indossa un chitone a pieghe che scendono a v tra i seni, e un himation che copre il capo e le spalle. Tiene su un lato una fiaccola a 4 bracci",8,"ripostiglio di terrecotte",
1561,,44847,360016,52008,,"Contursi-360016",31,232,3,1,3,108,"Piazza Marconi",,26,26,22,,,25,67,"25.5",31,,"Figurina fittile raffigurante personaggio con elmo e scudo. Volto tondo, capelli ricci, sul capo indossa un elmo corinzio da cui pendono due bende che scendono ai lati della testa e sulle spalle. Indossa un la clamide e imbraccia lo scudo. Ricomposto da frammenti, manca la parte inferiore.",8,"Nuovo Ospedale, Proprietà Acclavio. Scarico di terracotta. 14.12.1936",
771,,44619,329489,52010,,"Contursi-329489",31,232,3,1,3,108,"Piazza Marconi",,26,26,22,,,25,67,11,9,,"Frammento di figurina fittile femminile. Volto regolare, contornato da chioma riccia tenuta sul capo da un diadema. Indossa chitone che scende a V tra i seni e un himation che copre una spalla con un lembo mentre l'altro è tenuto sollevato con la mano.",8,"Nuovo Ospedale, Proprietà Acclavio. Scarico di terracotta. 14.12.1936",
772,,44813,329490,52011,,"Contursi-329490",31,232,3,1,3,108,"Piazza Marconi",,26,26,22,,,25,67,17,"16.5",,"Frammento di figurina fittile femminile.Si conserva solo parte del busto con chitone che scende a V tra i seni e si arriccia in fitte pieghe.",8,"Nuovo Ospedale, Proprietà Acclavio. Scarico di terracotta. 14.12.1936",
1186,,44752,330098,50390,,"Contursi-330098",31,232,3,3,65,108,,"Contrada Cortivecchie",26,26,22,,,25,67,24,,,"Frammento di rilievo fittile raffigurante recumbente, di cui resta solo la testa e parte di una spalle. Viso giovane e imberbe, incorniciato da ciocche disordinate aperte a forchetta sulla fronte. Sul capo indossa un diadema a cercine con benda e sulla spalla l'himation.",8,"scarico di terrecotte",
1187,,44854,329821,20051,,"Contursi-329821",31,232,3,3,34,108,"Via Regina Elena","lato occidentale",26,26,22,,,25,67,"20.5",17,,"Frammento di rilievo fittile di cui si conserva solo una protome equina. L'animale è di profilo a sinistra, col muso socchiuso e le narici divaricate. Ha una folta criniera con incisioni che definiscono le ciocche. Manca tutta la parte inferiore",8,"ripostiglio di terrecotte",
1191,,44757,329817,20037,,"Contursi-329817",31,232,3,3,34,108,"Via Regina Elena",,26,26,22,,,25,67,"10.5",,,"Testina fittile maschile. Volto barbato con ciocche definite, labbra serrate, occhi piccoli, capelli a ciocche ricce distribuite sulla fronte e sulle tempie. Sul capo benda e cappellino conico su cui sembra poggiare una pelle ferina.",8,,
1192,,44582,329805,20034,,"Contursi-329805",31,232,3,3,33,108,"Via Regina Elena",,26,26,22,,,25,67,"10.5",,,"Testina fittile femminile. Volto paffuto, carnose labbra serrate, occhi piccoli e volti verso il basso, capelli a ciocche ricce volte all'indietro. Sul capo benda e cappellino frigio, alle orecchie coppia di orecchini discoidali con elemento pendulo.",8,,
552,,44627,329492,52013,,"Contursi-329492",31,232,3,1,3,108,"Piazza Marconi",,26,26,3,,,25,67,16,"14.5",,"Frammento di figurina fittile maschile di recumbente. Volto giovane, imberbe, con labbra carnose e occhi piccoli, incorniciato da fitte ciocche mosse. Indossa sul capo un diadema a cercine e un himation che copre solo una spalla lasciando nudo il busto. Manca la parte inferiore.",8,"Nuovo Ospedale, Proprietà Acclavio. Scarico di terracotta. 14.12.1936",
1552,,44768,330136,54987,,"Contursi-330136",31,232,3,2,70,108,,,26,26,3,,,25,67,11,"9.5",,"Rilievo fittile di recumbente. Uomo babrato, col capo coronato da diadema a cercine con elementi floreali al centro e alle tempie e bende che scendono ai lati del volto. I capelli, acconciati all'indietro, e la barba sono resi a ciocche ricce incise. Si conserva solo la testa",8,"Nuovo Ospedale, scarico di terrecotte",
1553,,44832,330137,54988,,"Contursi-330137",31,232,3,2,70,108,,,26,26,3,,,25,67,"10.5","8.8",,"Rilievo fittile di recumbente. Uomo babrato, col capo coronato da diadema a cercine con elementi floreali al centro e alle tempie. I capelli, acconciati all'indietro, e la barba sono resi a ciocche ricce incise. Si conserva solo la testa",8,"Nuovo Ospedale, scarico di terrecotte",
1554,,44838,330138,54989,,"Contursi-330138",31,232,3,2,70,108,,,26,26,3,,,25,67,11,"7.5",,"Rilievo fittile di recumbente. Uomo babrato, col capo coronato da diadema a cercine con elementi floreali al centro e alle tempie. I capelli, acconciati all'indietro, e la barba sono resi a ciocche ricce incise. Si conserva solo la testa",8,"Nuovo Ospedale, scarico di terrecotte",
1555,,44697,330139,54990,,"Contursi-330139",31,232,3,2,70,108,,,26,26,3,,,25,67,13,"7.2",,"Rilievo fittile di recumbente. Uomo babrato, col capo coronato da diadema a cercine con elementi floreali al centro e alle tempie. I capelli, acconciati all'indietro, e la barba sono resi a ciocche ricce incise. Si conserva solo la testa",8,"Nuovo Ospedale, scarico di terrecotte",
1556,,44770,330140,54991,,"Contursi-330140",31,232,3,2,70,108,,,26,26,3,,,25,67,"9.5","7.2",,"Rilievo fittile di recumbente. Uomo babrato, col capo coronato da diadema a cercine con elementi floreali al centro e alle tempie. I capelli, acconciati all'indietro, e la barba sono resi a ciocche ricce incise. Si conserva solo la testa",8,"Nuovo Ospedale, scarico di terrecotte",
1557,,44738,330141,54992,,"Contursi-330141",31,232,3,2,70,108,,,26,26,3,,,25,67,"14.5",8,,"Rilievo fittile di recumbente. Uomo babrato, col capo coronato da diadema a cercine con elementi floreali al centro e alle tempie. I capelli, acconciati all'indietro, e la barba sono resi a ciocche ricce incise. Si conserva solo la testa",8,"Nuovo Ospedale, scarico di terrecotte",
1558,,44614,330142,54993,,"Contursi-330142",31,232,3,2,70,108,,,26,26,3,,,25,67,17,11,,"Rilievo fittile di recumbente. Uomo babrato, col capo coronato da diadema a cercine con elementi floreali al centro e alle tempie, da cui si dipartono due bende che scendono ai lati del volto e sulle spalle. I capelli, acconciati all'indietro, e la barba sono resi a ciocche ricce incise. Si conserva solo la testa e parte del busto nudo in leggera torsione.",8,"Nuovo Ospedale, scarico di terrecotte",
