id,scheda,misa,misl,misp
1,,20.20,17.10,3.20
2,,24,15.50,
3,,10.10,4,
4,,37,18,4
6,,74,,
7,,20.50,9,4
8,,15.30,26,2.20
9,,25.50,12,
10,,50.50,45.30,
11,,17,18.20,
12,,19,,0.30
13,,6.30,36,
14,,5.20,20.50,2.40
15,,7,23.50,2.50
16,,5,2.10,3
17,,5.20,1.20,3.30
18,,7.20,3,4
19,,6.30,2.40,4.40
20,,6.10,4.10,3
21,,6.50,5.10,3.10
22,,6,4,3
23,,6.20,5.20,3.30
24,,6.20,2,4.30
25,,5.20,2,5.20
26,,5,3,
27,,7.10,3.10,3.50
28,,15.20,9.40,0.30
29,,11,12,0.50
30,,19,12,2.50
31,,22.30,14,1
33,,10,6.50,1.30
34,,10.10,3.30,1.10
35,,22,9.10,1.20
36,,13.10,10.10,1
37,,17.30,9,1.10
38,,12.20,8,1.10
39,,10.20,7.20,1.10
40,,9.50,4.30,0.13
41,,23,17.50,1.10
42,,20.50,8.40,1.30
43,,13.50,8.10,1.10
44,,14,9,1
45,,8.20,6.20,1.20
47,,10.20,5.50,2.50
48,,33.20,7.30,1.30
49,,12.20,5,1
50,,4.50,4,0.30
51,,17.10,9.40,3.40
52,,17.10,9.40,
53,,10,7.10,
54,,15.40,1.30,1
55,,15.20,12.50,2
56,,11,4.50,
57,,13.30,7.40,2.10
58,,13.40,10.10,0.50
60,,15.50,16,1.30
61,,9.50,4.50,1
62,,25,13.20,2
63,,25.30,10.30,1
64,,25,10.10,10.20
65,,22,11.10,1.20
66,,27,10.20,1.10
67,,26.30,15,1.20
68,,20.20,10.20,1.20
69,,16.20,10.30,1.10
70,,25.04,9,1.20
71,,9,8.20,2.40
72,,45,15.50,1.10
73,,25,,
74,,42.10,15.20,1.20
75,,14.20,9,1.40
76,,15.10,7.50,1.20
77,,14,13.40,1
78,,20,16.20,1.30
79,,17,13,1.20
80,,11,18.20,3.20
81,,20,22.20,1.30
82,,16.40,15.30,0.30
83,,18.10,16,3.50
84,,21.20,18.30,2.50
85,,21.50,31,6
86,,36,28.10,2.20
87,,31,43,
88,,24.50,20.50,
89,,21.20,17.30,3.30
90,,16,,
91,,5,5,0.30
92,,3.10,5,0.30
93,,2.20,4.20,0.40
94,,6,2.30,
95,,7,2.30,
96,,6.20,3.30,2.20
97,,6,3.30,2
98,,5,3,2.10
99,,6.30,3,2.30
100,,7.10,3.10,1.30
101,,7.20,8,
102,,2.10,2.10,
103,,1.10,1.30,
104,,8.30,4.40,4
105,,7.30,3.50,
106,,7,4,
107,,5.40,5,
108,,6.30,4,2.10
109,,6.10,4.20,1.30
110,,6.20,5.20,1
111,,8.40,5.10,
112,,6.20,5.30,2.40
113,,10.40,7.10,
114,,11.30,15.10,0.30
115,,11.30,5,0.30
116,,12.30,3.40,0.30
121,,7.10,4.20,0.30
123,,7.20,3.30,0.40
124,,1.40,6.20,0.30
125,,2.20,2.50,0.30
126,,10,6.10,1
132,,10.50,7.10,1
136,,5.40,7,0.50
142,,7,18,
147,,34.50,28,
148,,18.10,26.10,30.50
149,,32.20,,
152,,23.50,8,
153,,10,4,
154,,12.30,4.50,
155,,14.20,13.30,
156,,20.50,,
171,,30.50,,
172,,33.30,,
198,,2.10,2.6,
199,,2.20,1.8,
200,,1.40,0.9,
201,,2,,
202,,,6.20,
203,,,4.20,
238,,3,8,
239,,3.30,9.20,
243,,5.20,1.30,0.50
244,,4.40,2.10,
245,,3.50,8,0.30
246,,4.20,3,0.40
247,,6.30,3.50,0.50
248,,4.20,5,
249,,3.20,4.30,
250,,3.50,4.20,
251,,3,4,
252,,3.20,4.20,0.50
253,,2.30,3.20,0.30
254,,3.20,4.10,0.30
255,,3,4.30,0.40
256,,3.30,4.30,0.50
257,,3.30,4,0.30
258,,3.50,4,0.40
259,,3,4.10,0.30
260,,3.30,4,0.40
261,,3,4.20,0.50
262,,3,4.30,0.40
263,,3.20,4,0.40
264,,3.10,4.30,0.50
265,,3,4.50,1.10
266,,3.10,4.30,0.40
267,,2.50,4.20,0.50
268,,3.30,4,0.50
269,,3,4.20,0.50
270,,4.10,4.50,0.50
271,,3.30,5,0.40
272,,2.50,3,0.30
273,,3.20,4.30,0.50
274,,3,4.30,0.40
275,,3.30,4,0.50
276,,3,4.20,0.50
277,,2.50,3,0.30
278,,5.40,5.30,0.50
279,,4,5.40,0.40
280,,4,6,1
281,,4.50,6.20,0.50
282,,6,6.30,0.50
283,,4.40,10,0.30
284,,4.30,9.30,0.20
285,,4.40,5.20,0.20
286,,3.50,8.30,0.20
287,,4.30,9.10,0.20
288,,3.50,9.20,0.40
289,,2.20,7.30,0.40
290,,2.10,7.50,3.50
291,,2,6.10,0.40
292,,3.10,7.30,0.20
293,,5.20,6.10,1.10
294,,5,5.10,0.40
295,,5.50,5.40,0.20
296,,7.20,8.30,0.30
297,,6,6.30,0.30
298,,8.30,8.50,0.30
299,,5,5.40,0.30
300,,5,5.50,0.30
301,,5.10,4.50,0.20
302,,5.20,6.30,0.40
307,,28.50,11,
311,,51.10,24.20,
322,,8.50,,
334,,27.50,23,
336,,32.30,12.50,
340,,45.10,26.20,
343,,26.10,16,
344,,17.50,10.30,
346,,32.30,15,
348,,13.50,,
350,,11,7,0.40
351,,13,,
352,,15.20,,
354,,20.50,,
355,,7,,
360,,7.20,8.50,
361,,11.30,15,
362,,23,,
363,,11,10.40,
378,,10.10,,
379,,13.10,10,
381,,12,,
382,,39.50,,
383,,12,,
386,,8.50,7,
387,,10,,
389,,13.20,,
390,,10,,
393,,9.40,7,
397,,57,60,
398,,26.20,22,
399,,24,20,
402,,,6.20,
448,,1.50,1.6,
449,,2.20,2.50,
450,,2.10,2.50,
476,,17.40,,
477,,12.20,,
479,,23.40,,
497,,12,7.30,
498,,27.10,14,
499,,19,21.20,
500,,32,18.10,
518,,12,9.50,9
519,,10.3,7.10,
520,,7.30,,
521,,3.30,,
522,,3,,
523,,2,,
524,,2.50,,
525,,2.30,,
526,,1.30,,
527,,1.30,,
528,,1.20,,
529,,20.20,16.40,
531,,5.40,10,
532,,3.20,9.10,
533,,4.30,10.20,
534,,2.20,6.20,
535,,1,4.20,
536,,4.50,10.50,
538,,6.50,1.10,
539,,5.40,11.20,
540,,3.10,6.10,
560,,33.50,,
573,,19.10,,
574,,29,25.30,
575,,9.30,,
576,,18.50,,
586,,45,,
587,,20.20,29.50,
591,,50.50,,
607,,66.40,,
616,,19,36.8,
617,,8,53.50,
626,,3.10,2.40,
627,,3.10,2.50,
628,,3.10,2.50,
629,,3,2.50,
630,,2.40,1.50,
631,,2.40,1.8,
632,,2.40,2.10,
633,,15,,
634,,15.50,,
637,,41,2,
640,,13.10,7,
651,,9.50,6,
685,,6.40,,
687,,6.20,,
688,,5,,
689,,4.40,,
690,,3.10,,
691,,5,,
692,,5.50,,
694,,6.10,,
695,,3.50,,
696,,6.30,,
697,,4.20,,
698,,3,,
699,,8.20,,
700,,3.30,,
701,,4.20,,
702,,3.50,,
703,,3,,
704,,3.10,,
705,,3.10,,
706,,3.40,,
707,,3,,
708,,4,,
709,,4.10,,
710,,3,,
711,,4.10,,
712,,3,,
714,,5,,
715,,2.50,3.10,
716,,2.50,3.10,
717,,9,,
718,,9,,
719,,5.50,,
720,,5,,
721,,4,,
722,,4.50,,
723,,17.30,,
730,,32.30,,
738,,19,,
739,,6,,
740,,7,,
741,,5.50,,
742,,4.50,,
743,,4.30,,
744,,26.20,,
745,,17.20,,
746,,12.50,,
747,,21.50,,
749,,41.50,,
750,,6.50,,
751,,6.50,6.20,
752,,7.20,,
753,,14.50,,
754,,57,,
755,,7,,
756,,5,,
757,,12.30,,
758,,83.20,,
759,,87.30,,
762,,31.50,15.50,
763,,32.50,,
764,,6.50,,
765,,17.50,48,
766,,46,5,
767,,7.40,,
768,,23,,
769,,9.50,,
770,,14,,
771,,10.50,16.50,
772,,21.10,,
773,,19,,
774,,19,,
775,,91,11,
776,,37.50,,
777,,7.50,15.10,
779,,16.50,,
780,,12,,
781,,18,,
782,,11.50,,
783,,11.50,,
784,,24,,
785,,19.10,,
786,,14,,
787,,14.40,,
788,,17,,
789,,7,,
790,,24,,
791,,4.30,,
792,,6.20,,
802,,14,,
803,,15,,
804,,15.10,,
805,,5.30,,
806,,6,,
807,,6.50,,
808,,6,,
809,,4,,
810,,14.50,,
811,,6.50,1.20,
812,,18,,
814,,12,,
816,,15,,
817,,12,,
818,,7.50,,
819,,9,,
820,,6.10,,
821,,34,,
824,,17,,
825,,2.20,,
826,,45.10,4.20,
827,,12.50,,
828,,9.50,,
829,,25.40,,
830,,20,,
831,,14.20,,
832,,14.50,,
833,,15,,
834,,5,,
835,,5.30,,
846,,39,,
847,,38.20,,
848,,39.50,,
849,,39.30,,
850,,11,19,
851,,16,22,
852,,13,26,
853,,13,25,
854,,15,26.40,
855,,12,26,
856,,13,,
857,,13.20,,
858,,12.10,,
865,,33.10,,
866,,13.30,,
867,,13.50,,
868,,12.20,,
869,,14.30,,
870,,35.10,,
871,,36,,
872,,12.40,,
873,,13.30,,
874,,12.40,,
875,,13.30,,
876,,7.20,6.30,
877,,3.50,,
878,,8.50,,
881,,39.20,,
882,,35.50,,
883,,29.20,,
884,,13.50,,
885,,7.20,,
886,,12.20,,
887,,12.20,,
888,,13,,
889,,9.40,,
890,,23,,
891,,41.50,,
892,,13,,
893,,9.20,,
894,,10.20,,
895,,17.20,,
896,,7.40,,
897,,9.20,,
898,,8,,
899,,9.10,,
900,,12.20,,
901,,12.10,,
905,,11.40,,
906,,11.20,,
907,,11.50,,
908,,21,,
909,,13.20,,
910,,23,,
911,,14.20,,
912,,13.50,,
913,,23,,
914,,12.10,,
915,,19,,
916,,13,,
917,,14.10,,
918,,13.10,,
919,,12,,
920,,17.10,,
921,,13.30,,
922,,12,,
923,,14.30,,
924,,14.10,,
925,,14.10,,
926,,12,,
927,,13.40,,
928,,13.20,,
929,,21,,
930,,13.30,,
931,,48.20,,
932,,12,,
933,,10.30,,
934,,30.50,,
935,,3.50,4.10,
936,,4.10,4.20,
937,,,3,
938,,2,2.20,
939,,2.10,2.20,
940,,1.20,1.20,
950,,12,,
951,,18,,
952,,16.30,,
953,,16,,
954,,16.40,,
955,,16.30,,
956,,16,,
957,,10,,
958,,6,,
959,,18,,
960,,5.10,,
961,,6.40,,
962,,11.50,,
963,,2.20,,
964,,7,3.10,
965,,7,2.50,
966,,6.50,2.50,
967,,8,3,
968,,17.30,,
969,,4.20,,
970,,5.20,,
971,,4.30,,
972,,5.30,,
973,,6.50,,
1061,,62,,
1062,,9,,
1063,,6.50,,
1071,,11.30,,
1072,,15.40,,
1074,,17,,
1076,,29.10,,
1077,,3.20,,
1078,,30.50,,
1079,,27,,
1080,,19,,
1081,,31,,
1082,,15.30,,
1083,,1.30,,
1084,,12,,
1085,,40,,
1086,,2.10,,
1133,,4.20,1.40,
1134,,9.30,5.30,
1145,,3,,
1155,,1.20,1,
1160,,6,1.50,
1166,,1.30,1.20,
1170,,2,1.30,
1171,,3,,
1172,,21,,
1173,,13.20,,
1174,,3.10,,
1175,,4,,
1176,,1.20,,
1179,,2.10,1.40,
1180,,2.10,,
1193,,23.20,2,
1194,,22.50,1.50,
1209,,3.30,,
1210,,2.30,,
1217,,32.10,11.10,
1218,,33,10.50,
1219,,14,5.10,
1220,,13.10,5,
1221,,8.20,,
1222,,8,5,
1223,,8,,
1228,,7.20,,
1229,,8.50,,
1231,,18,66,29.10
1232,,89,36,
1233,,5.40,,
1234,,5.40,,
1235,,12.50,,
1236,,6.40,,
1237,,7,,
1238,,12.10,,
1239,,7.40,,
1240,,7.20,,
1241,,5,10.30,
1242,,6,,
1243,,6.10,,
1244,,7,,
1245,,8,,
1246,,6.20,,
1247,,1.30,1,
1248,,9.10,,
1249,,3.20,,
1343,,8,,
1344,,8.10,,
1345,,1.50,,
1346,,5,,
1347,,6.50,,
1348,,31,2,
1356,,29.50,,
1357,,1.50,1.10,
1367,,29.40,,
1368,,10.40,,
1369,,16.50,,
1370,,30,,
1371,,11.10,,
1372,,32,,
1373,,7.20,,
1374,,16.10,,
1375,,11.30,,
1376,,17.50,8,
1384,,14.20,,
1385,,17,,
1386,,28.10,,
1387,,5.10,,
1388,,63.20,,
1389,,48,,
1390,,13.10,,
1391,,25,,
1392,,17,,
1393,,9.50,,
1394,,31,,
1395,,6.20,,
1396,,10.10,,
1397,,8.10,,
1398,,22.50,,
1399,,36.50,,
1400,,37,,
1401,,23,,
1402,,25,,
1403,,14.20,,
1404,,9,,
1405,,22.50,,
1406,,10,,
1407,,10,,
1408,,9.30,,
1410,,8,,
1411,,8.10,,
1412,,29.50,,
1413,,53,,
1414,,54.50,,
1415,,49,,
1416,,5,,
1417,,8,,
1418,,8,,
1424,,17,,
1425,,29.30,,
1426,,40,,
1427,,33.50,,
1428,,28.30,,
1429,,48.20,,
1431,,38,,
1432,,21.40,,
1433,,22,,
1434,,23,,
1435,,35,,
