id,scheda,materia,tecnica
903,,18,argento
904,,18,argento
638,,18,rilievo
639,,18,rilievo
101,,18,tecnica non presente in lista
640,,18,tecnica non presente in lista
641,,18,tecnica non presente in lista
642,,18,tecnica non presente in lista
643,,18,tecnica non presente in lista
644,,18,tecnica non presente in lista
645,,18,tecnica non presente in lista
646,,18,tecnica non presente in lista
647,,18,tecnica non presente in lista
648,,18,tecnica non presente in lista
649,,18,tecnica non presente in lista
650,,18,tecnica non presente in lista
651,,18,tecnica non presente in lista
658,,18,tecnica non presente in lista
659,,18,tecnica non presente in lista
660,,18,tecnica non presente in lista
661,,18,tecnica non presente in lista
662,,18,tecnica non presente in lista
663,,18,tecnica non presente in lista
664,,18,tecnica non presente in lista
665,,18,tecnica non presente in lista
666,,18,tecnica non presente in lista
667,,18,tecnica non presente in lista
681,,18,tecnica non presente in lista
682,,18,tecnica non presente in lista
685,,18,tecnica non presente in lista
686,,18,tecnica non presente in lista
687,,18,tecnica non presente in lista
688,,18,tecnica non presente in lista
689,,18,tecnica non presente in lista
690,,18,tecnica non presente in lista
691,,18,tecnica non presente in lista
692,,18,tecnica non presente in lista
693,,18,tecnica non presente in lista
694,,18,tecnica non presente in lista
695,,18,tecnica non presente in lista
696,,18,tecnica non presente in lista
697,,18,tecnica non presente in lista
698,,18,tecnica non presente in lista
699,,18,tecnica non presente in lista
700,,18,tecnica non presente in lista
701,,18,tecnica non presente in lista
702,,18,tecnica non presente in lista
703,,18,tecnica non presente in lista
704,,18,tecnica non presente in lista
705,,18,tecnica non presente in lista
706,,18,tecnica non presente in lista
707,,18,tecnica non presente in lista
708,,18,tecnica non presente in lista
709,,18,tecnica non presente in lista
710,,18,tecnica non presente in lista
711,,18,tecnica non presente in lista
712,,18,tecnica non presente in lista
714,,18,tecnica non presente in lista
721,,18,tecnica non presente in lista
793,,18,tecnica non presente in lista
795,,18,tecnica non presente in lista
1156,,18,tecnica non presente in lista
1157,,18,tecnica non presente in lista
1163,,18,tecnica non presente in lista
1806,,18,tecnica non presente in lista
1807,,18,tecnica non presente in lista
463,,22,a stampo
464,,22,a stampo
465,,22,a stampo
1109,,22,a stampo
1110,,22,a stampo
1111,,22,a stampo
1112,,22,a stampo
1113,,22,a stampo
1114,,22,a stampo
1115,,22,a stampo
1116,,22,a stampo
1117,,22,a stampo
1118,,22,a stampo
1119,,22,a stampo
1120,,22,a stampo
1135,,22,a stampo
717,,22,laminatura
718,,22,laminatura
719,,22,laminatura
199,,22,tecnica non presente in lista
215,,22,tecnica non presente in lista
220,,22,tecnica non presente in lista
221,,22,tecnica non presente in lista
222,,22,tecnica non presente in lista
223,,22,tecnica non presente in lista
227,,22,tecnica non presente in lista
229,,22,tecnica non presente in lista
230,,22,tecnica non presente in lista
231,,22,tecnica non presente in lista
232,,22,tecnica non presente in lista
234,,22,tecnica non presente in lista
236,,22,tecnica non presente in lista
401,,22,tecnica non presente in lista
405,,22,tecnica non presente in lista
669,,22,tecnica non presente in lista
670,,22,tecnica non presente in lista
671,,22,tecnica non presente in lista
672,,22,tecnica non presente in lista
713,,22,tecnica non presente in lista
720,,22,tecnica non presente in lista
822,,22,tecnica non presente in lista
823,,22,tecnica non presente in lista
825,,22,tecnica non presente in lista
1126,,22,tecnica non presente in lista
1127,,22,tecnica non presente in lista
1128,,22,tecnica non presente in lista
1129,,22,tecnica non presente in lista
1130,,22,tecnica non presente in lista
1131,,22,tecnica non presente in lista
1136,,22,tecnica non presente in lista
1137,,22,tecnica non presente in lista
1139,,22,tecnica non presente in lista
1141,,22,tecnica non presente in lista
1145,,22,tecnica non presente in lista
1161,,22,tecnica non presente in lista
1162,,22,tecnica non presente in lista
1164,,22,tecnica non presente in lista
1167,,22,tecnica non presente in lista
1174,,22,tecnica non presente in lista
1175,,22,tecnica non presente in lista
1176,,22,tecnica non presente in lista
1182,,22,tecnica non presente in lista
1183,,22,tecnica non presente in lista
1184,,22,tecnica non presente in lista
1185,,22,tecnica non presente in lista
1186,,22,tecnica non presente in lista
1187,,22,tecnica non presente in lista
1188,,22,tecnica non presente in lista
1189,,22,tecnica non presente in lista
1197,,22,tecnica non presente in lista
1198,,22,tecnica non presente in lista
1199,,22,tecnica non presente in lista
1200,,22,tecnica non presente in lista
1201,,22,tecnica non presente in lista
1202,,22,tecnica non presente in lista
1203,,22,tecnica non presente in lista
1204,,22,tecnica non presente in lista
1682,,22,tecnica non presente in lista
1770,,22,tecnica non presente in lista
1771,,22,tecnica non presente in lista
1779,,22,tecnica non presente in lista
935,,23,laminatura
936,,23,laminatura
937,,23,laminatura
938,,23,laminatura
939,,23,laminatura
940,,23,laminatura
226,,4,tecnica non presente in lista
824,,6,tecnica non presente in lista
1064,,6,tecnica non presente in lista
1491,,6,tecnica non presente in lista
1507,,6,tecnica non presente in lista
1723,,6,tecnica non presente in lista
652,,18,tecnica non presente in lista
653,,18,tecnica non presente in lista
654,,18,tecnica non presente in lista
655,,18,tecnica non presente in lista
656,,18,tecnica non presente in lista
657,,18,tecnica non presente in lista
1180,,18,tecnica non presente in lista
652,,22,tecnica non presente in lista
653,,22,tecnica non presente in lista
654,,22,tecnica non presente in lista
655,,22,tecnica non presente in lista
656,,22,tecnica non presente in lista
657,,22,tecnica non presente in lista
1640,,22,tecnica non presente in lista
1641,,22,tecnica non presente in lista
1642,,22,tecnica non presente in lista
1643,,22,tecnica non presente in lista
1644,,22,tecnica non presente in lista
1645,,22,tecnica non presente in lista
422,,22,tecnica non presente in lista
826,,22,tecnica non presente in lista
945,,22,tecnica non presente in lista
1172,,22,tecnica non presente in lista
1173,,22,tecnica non presente in lista
1177,,22,tecnica non presente in lista
1190,,22,tecnica non presente in lista
1191,,22,tecnica non presente in lista
1192,,22,tecnica non presente in lista
1133,,22,tecnica non presente in lista
1138,,22,tecnica non presente in lista
1348,,22,tecnica non presente in lista
1611,,22,tecnica non presente in lista
1612,,22,tecnica non presente in lista
1121,,22,tecnica non presente in lista
1122,,22,tecnica non presente in lista
1123,,22,tecnica non presente in lista
1124,,22,tecnica non presente in lista
1125,,22,tecnica non presente in lista
1132,,22,tecnica non presente in lista
1134,,22,tecnica non presente in lista
1140,,22,tecnica non presente in lista
1142,,22,tecnica non presente in lista
1143,,22,tecnica non presente in lista
1168,,22,tecnica non presente in lista
1181,,22,tecnica non presente in lista
1193,,22,tecnica non presente in lista
1194,,22,tecnica non presente in lista
402,,22,tecnica non presente in lista
20,,25,a mano
21,,25,a mano
22,,25,a mano
23,,25,a mano
111,,25,a mano
127,,25,a mano
132,,25,a mano
1496,,25,a mano
1,,25,a matrice
2,,25,a matrice
4,,25,a matrice
16,,25,a matrice
17,,25,a matrice
19,,25,a matrice
24,,25,a matrice
25,,25,a matrice
26,,25,a matrice
27,,25,a matrice
30,,25,a matrice
31,,25,a matrice
32,,25,a matrice
33,,25,a matrice
34,,25,a matrice
35,,25,a matrice
36,,25,a matrice
37,,25,a matrice
38,,25,a matrice
39,,25,a matrice
40,,25,a matrice
41,,25,a matrice
45,,25,a matrice
46,,25,a matrice
47,,25,a matrice
49,,25,a matrice
50,,25,a matrice
51,,25,a matrice
52,,25,a matrice
53,,25,a matrice
54,,25,a matrice
55,,25,a matrice
56,,25,a matrice
57,,25,a matrice
58,,25,a matrice
59,,25,a matrice
60,,25,a matrice
61,,25,a matrice
62,,25,a matrice
63,,25,a matrice
64,,25,a matrice
65,,25,a matrice
66,,25,a matrice
67,,25,a matrice
68,,25,a matrice
69,,25,a matrice
70,,25,a matrice
71,,25,a matrice
72,,25,a matrice
74,,25,a matrice
75,,25,a matrice
76,,25,a matrice
77,,25,a matrice
78,,25,a matrice
79,,25,a matrice
80,,25,a matrice
81,,25,a matrice
82,,25,a matrice
83,,25,a matrice
84,,25,a matrice
85,,25,a matrice
86,,25,a matrice
87,,25,a matrice
88,,25,a matrice
89,,25,a matrice
94,,25,a matrice
95,,25,a matrice
96,,25,a matrice
97,,25,a matrice
98,,25,a matrice
99,,25,a matrice
100,,25,a matrice
108,,25,a matrice
109,,25,a matrice
110,,25,a matrice
112,,25,a matrice
113,,25,a matrice
126,,25,a matrice
