id,scheda,nctn,inventario,suffisso,cmpd,titolo,deso,l3,l4,piano,sala,contenitore,comune,via,geonote,dtzgi,dtzgf,dtzs,dtsi,dtsf,stcc,oss
693,,345628,170114,,10/09/2020,Contursi-345628,Vaghi globulari piatti con foro passante. Ambra ossidata. Si conservano tre vaghi.,4,48,2,27,49,108,,Contrada Vaccarella,24,24,2,-510,-501,8,"Tomba 122,F.G. Lo Porto,08.07.1977"
165,,333984,187146,,31/03/2020,Contursi-333984,"Figura femminile fittile a tutto tondo. Raffigura una giovane fanciulla, dal viso morbido, con occhi e palpebre ben definiti, bocca larga e sottile, i capelli resi a piccole ciocche incise sono ravviati indietro e raccolti in un sakkos. Le orecchie hanno i lobi forati. Fratta",31,232,2,24,23,45,,Saturo,26,26,,-400,-301,8,"Santuario della Sorgente,Lo Porto,1976-1977"
108,,333930,119807,,25/05/2020,Contursi-333930,"Figurina femminile in terracotta. Capelli ricci, resi con globetti di argilla applicata, viso dall'ovale morbido, occhi in continuità con la radice del naso che risulta largo e schiacciato. Labbra strette e dritte. Si conserva solo la testa fino al collo. Il retro è cavo",31,232,2,24,22,45,,Saturo,25,25,2,-410,-401,8,"Scavo dell'Acropoli, esterno deposito 1959,Felice Gino Lo Porto,1959"
495,,345304,221131,,31/01/2020,Contursi-345304,Frammento di vaso attico a figure rosse. Forma chiusa. Della decorazione figurata si conserva la parte inferiore di una figura femminile con lira e di un'altra figura con chitone ricamato.,43,607,2,25,36,108,,Contrada Ausonia,25,25,2,-410,-401,8,1909-1913
496,,345309,227373,,13/01/2020,Contursi-345309,Frammenti di cratere a campana protoitaliota a figure rosse. Contigui ma non ricomponibili. Della decorazione figurata si conserva un Satiro che tiene sul braccio un serpente e la testa di una figura maschile.,43,499,2,25,36,108,,Contrada Ausonia,25,25,2,-410,-401,8,1909-1913
1209,,348430,15845,,18/05/2020,Contursi-348430,"Fibula in bronzo ad arco foliato. Staffa con epifisi a bottone. Lacunosa, ossidata.",1,13,2,29,79,108,Via Di Palma 72,,25,25,2,-410,-401,8,"Tomba 119,01.12.1908"
1210,,348431,15846,,05/02/2020,Contursi-348431,"Fibula in bronzo ad arco semplice. Arco a sezione circolare, molla avvolta a spirale, staffa con epifisi triangolare. Lacunosa, ossidata.",1,13,2,29,79,108,Via Di Palma 72,,25,25,2,-410,-401,8,"Tomba 119,01.12.1908"
1573,,348777,50956,,19/03/2020,Contursi-348777,Anello digitale in bronzo con castone non figurato. Verga a sezione ellissoidale. Castone a losanga arrotondata. Ossidato e frammentario.,4,28,2,28,94,108,Via Pitagora,,25,25,2,-410,-401,8,"Tomba a fossa 2, interno, presso il fianco del defunto.,01.08.1934"
38,,333867,1018,,15/10/2020,Contursi-333867,"Statuetta femminile in terracotta, di cui resta solo parte del volto. Il viso è regolare, ben delineato, gli occhi a mandorla sono sinuosi, il mento sporgente con fossetta centrale, il naso sottile, la bocca atteggiata a sorriso arcaico presenta fossette laterali, l'orecchio è a forma di capitello ionico. Il viso è incorniciato da una capigliatura riccia a massa compatta. Lacunosa dal collo in giù. Presenta tracce di colore bianco.",31,232,2,24,19,161,,,24,24,2,-510,-501,8,1896 - 1898
39,,333868,1026,,17/07/2020,Contursi-333868,"Statuetta femminile in terracotta, probabilmente a tutto tondo, di cui resta solo parte del volto. Il viso è ovale, gli zigomi sporgenti, gli occhi a mandorla con cordolo, le labbra carnose con fossette laterali.",31,232,2,24,19,108,Corso Italia,Caserma Doria,24,24,2,-510,-501,8,
75,,333895,42317,,23/01/2020,Contursi-333895,"Figura fittile femminile stante, acefala. Indossa un himation al di sopra di un abito con rigida pieghettatura. Un braccio era piegato verso il petto e la relativa mano regge un volatile. Frammentaria, priva della testa e della parte inferiore delle gambe.",31,232,2,24,20,45,,Saturo,24,24,2,-510,-501,8,1986
79,,333904,2488,,04/05/2020,Contursi-333904,"Figurina fittile maschile di recumbente. Il volto è squadrato, gli occhi a mandorla, il sorriso ""arcaico""; i capelli sulla fronte sono resi a linguette; le trecce ricadenti sulle spalle sono rese mediante l'uso del colore rosso, ancora parzialmente visibile. Il busto è nudo, reso di prospetto, con i pettorali ben definiti. Un braccio è poggiato su un cuscino ed è ripiegato al petto a reggere una phiale, mentre l'altro è poggiato sulla relativa gamba, ripiegata. La parte inferiore del corpo è avvolta in un drappo con pieghe, colorato di rosso. La kline è rettangolare, con elementi decorativi di forma circolare dipinti. Il colore rosso utilizzato per i dettagli è ancora visibile sui capelli, occhi, bocca, capezzoli, ombelico e kline. Manca la parte inferiore della kline.",31,232,2,24,21,45,,Saturo,24,24,2,-510,-501,8,"Stipe Giovinazzi,376"
87,,333912,50367,,26/06/2020,Contursi-333912,"Rilievo fittile raffigurante personaggio maschile recumbente su kline con phiale nella sua mano destra. Il viso è regolare, l'arcata sopracciliare ben definita e contigua alla radice del naso, bocca stretta atteggiata a lieve sorriso. I capelli sono raccolti in trecce che ricadono sulle spalle fino all'altezza del petto, mentre sulla fronte una banda di ricci appenna accennati è sormontata da un diadema a globetti. La parte superiore del corpo sembra scoperta, mentre sulle gambe indossa un himation con pieghe molto squadrate, terminante a zig-zag. La mano destra è portata al petto e regge un vaso potorio di forma circolare, mentre il braccio sinistro, lacunoso, è poggiato alla relativa gamba, che risulta piegata.",31,232,2,24,21,45,,Saturo,24,24,2,-510,-501,8,"Stipe votiva,12539"
