id_temp,cmpd,nctn,inv,suf,titolo,ogtd,ogr,ogto,piano,sala,scaffale,colonna,plateau,comune,dtzgi,dtzgf,dtsi,dtsf,dtm,materia,tecnica,desa,desm,desv,desl,desg,desu,desf,dest,deso,desn,desr,desd,zec,stcc,stcl,cdgg,adsp,adsm
1,2021-03-10,317242,0,1,Devoto-317242,4009,1,109,-1,4,40,2,2,38,27,27,211,208,11,22,22,Testa di Giove a d.,Vittoria che incorona trofeo a d. Simbolo,-,-,ROMA,-,Latino,Latino,-,Latino,Latino,-,Roma,11,4,1,1,1
8,2021-03-10,317249,0,8,Devoto-317249,4009,1,39,-1,4,40,2,2,38,28,28,143,143,11,22,22,Testa elmata di Roma a d. X,Diana su biga di cervi,-,-,ROMA,-,Latino,Latino,-,Latino,Latino,-,Roma,11,3,1,1,1
5,2021-03-10,317246,0,5,Devoto-317246,4009,1,39,-1,4,40,2,2,38,28,28,115,114,11,22,22,Testa elmata di Roma a d. X,"Roma con elmo corinzio, seduta a d. su pila di scudi, con lancia nella s. Davanti, lupa e gemelli",-,-,-,-,Latino,Latino,-,Latino,Latino,-,Roma,11,3,1,1,1
6,2021-03-10,317247,0,6,Devoto-317247,4009,1,39,-1,4,40,2,2,38,28,28,115,114,11,22,22,Testa elmata di Roma a d. X,"Roma con elmo corinzio, seduta a d. su pila di scudi, con lancia nella s. Davanti, lupa e gemelli",-,-,-,-,Latino,Latino,-,Latino,Latino,-,Roma,11,3,1,1,1
7,2021-03-10,317248,0,7,Devoto-317248,4009,1,39,-1,4,40,2,2,38,28,28,115,114,11,22,22,Testa elmata di Roma a d. X,"Roma con elmo corinzio, seduta a d. su pila di scudi, con lancia nella s. Davanti, lupa e gemelli",-,-,-,-,Latino,Latino,-,Latino,Latino,-,Roma,11,3,1,1,1
2,2021-03-10,317243,0,2,Devoto-317243,4009,1,109,-1,4,40,2,2,38,27,27,211,210,11,22,22,Testa di Giove a d.,Vittoria che incorona trofeo a d. Simbolo,-,-,ROMA,-,Latino,Latino,-,Latino,Latino,-,Luceria,11,4,1,1,1
3,2021-03-10,317244,0,3,Devoto-317244,4009,1,109,-1,4,40,2,2,38,27,27,211,210,11,22,22,Testa di Giove a d.,Vittoria che incorona trofeo a d. Simbolo,-,-,ROMA,-,Latino,Latino,-,Latino,Latino,-,Luceria,11,4,1,1,1
4,2021-03-10,317245,0,4,Devoto-317245,4009,1,109,-1,4,40,2,2,38,27,27,211,210,11,22,22,Testa di Giove a d.,Vittoria che incorona trofeo a d. Simbolo,-,-,ROMA,-,Latino,Latino,-,Latino,Latino,-,Luceria,11,4,1,1,1
798,2021-03-10,318044,0,770,Devoto-318044,4009,1,39,-1,4,40,2,16,38,28,28,114,113,11,22,22,Testa gianiforme dei Dioscuri. Ai lati: marchio di controllo e X barrato ,Nave a s.,-,-,[C] FONT ROMA,-,Latino,Latino,-,Latino,Latino,-,Roma,11,2,1,1,1
488,2021-03-10,317729,0,488,Devoto-317729,4009,1,39,-1,4,40,2,10,38,28,28,115,114,11,22,22,[M CIPI M F] testa elmata di Roma a d. Dietro: X; davanti: marchio di controllo,Vittoria su biga a d. con redini nella s. e ramo di palma nella d.,-,-,[ROMA],-,Latino,Latino,-,Latino,Latino,-,Roma,11,2,1,1,1
