scheda_temp,biblio_temp,contributo_temp,pagine,figure
1,1000,1,238 nota 18,Fig. 6.2
1,1001,2,209 n. 24,dato assente
2,1000,1,238 nota 19,Fig. 6.3 e 7
2,1001,2,209 n. 25,dato assente
3,1000,1,238 nota 19,Fig. 6.4 e 7
3,1001,2,209 n. 26,dato assente
4,1000,1,239 nota 21,Fig. 6.6 e 7
4,1001,2,208 n. 28,dato assente
5,1000,1,239 nota 23,Fig. 6.8 e 7
5,1001,2,217 nn. 34-35,dato assente
6,1000,1,237 nota 15,Fig. 6.1
6,1001,2,"217 nn. 36,1",dato assente
7,1000,1,239 nota 23,Fig. 6.9 e 7
7,1001,2,"217 nn. 36,2",dato assente
8,1000,1,239 nota 22,Fig. 6.7 e 7
8,1001,2,217 n. 37,dato assente
9,1000,1,237 nota 15,dato assente
9,1001,2,"224 n. 44,2",dato assente
10,1000,1,239 nota 24,dato assente
10,1001,2,"209 n. 29,3",dato assente
11,1000,1,239 nota 24,dato assente
11,1001,2,"209 n. 29,4",dato assente
16,1002,3,548 n. 57,dato assente
17,1002,3,548 n. 57,dato assente
18,1002,3,548 n. 57,dato assente
18,1003,4,352,tav. LVIII.2
19,1002,3,548 n. 57,dato assente
19,1003,4,352,tav. LVIII.2
20,1003,4,352,tav. LVIII.2
20,1004,5,8-11,Fig. 1a-c
20,1005,,"77, 258, TAR092",dato assente
21,1003,4,352,tav. LVIII.2
21,1004,5,8-11,fig. 2a-c
21,1005,,"77, 258, TAR097",dato assente
23,1001,2,Cfr. p. 217 n. 37,dato assente
24,1006,,Cfr. p. 81 ,Fig. 52
25,1006,,Cfr. p. 84 ,Fig. 58
26,1006,,Cfr. pp. 62-70,dato assente
28,1006,,Cfr. pp. 62-70,dato assente
29,1006,,Cfr. pp. 62-70,dato assente
30,1006,,Cfr. p. 98 ,Fig. 77
31,1006,,Cfr.  p. 33 ,fig. 17 n. 15
33,1006,,Cfr. pp. 62-70,dato assente
34,1006,,Cfr. pp. 62-70,dato assente
35,1006,,Cfr. p. 90 nn. 39-40,dato assente
36,1006,,Cfr. p. 90 nn. 39-40,dato assente
37,1006,,Cfr. pp. 62-70,dato assente
