id_temp,id_def,nctn,inv,suf,l3,l4,piano,sala,vetrina,comune,via,geonote,scan,dsca,dscd,dtzgi,dtzgf,dtzs,dtsi,dtsf,dtm,materia,tecnica,misa,misl,misd,deso,stcc,stcl,adsp,adsm,cmpd,cmpn,fur,cdgg
1,,333763,119943,null,44,645,2,3,16,45,null,Saturo,"Scavo dell'Acropoli, grotticella-cucina",Felice Gino Lo Porto,1959,21,21,22,,,8,25,modellato a mano,,,,"Pithos d'impasto di forma ovoidale a bocca larga sotto cui sono impostate delle brevi prese a linguetta eretta
con poco aggetto e piede a disco. Proviene dal cd. ripostiglio.",9,3,1,1,2020/07/28,33,39,1
2,,333758,119829,null,44,645,2,3,16,45,null,Saturo,"Scavo dell'Acropoli, grotticella-cucina",Felice Gino Lo Porto,1959,21,21,22,,,8,25,modellato a mano,,,,"Olla globulare d'impasto con lieve risega sotto l’orlo, piccole prese equidistanti a linguetta eretta e stretta e piede a disco. Proviene dal cd. ripostiglio.",9,3,1,1,2020/07/28,33,39,1
3,,333759,119950,null,44,645,2,3,16,45,null,Saturo,"Scavo dell'Acropoli, grotticella-cucina",Felice Gino Lo Porto,1959,21,21,22,,,8,25,modellato a mano,,,,Olla globulare d'impasto a pareti rientranti con prese ad aggetto ogivale sotto l’orlo e piede a disco. Proviene dal cd. ripostiglio.,9,3,1,1,2020/07/28,33,39,1
4,,333757,119827,null,43,548,2,3,16,45,null,Saturo,"Scavo dell'Acropoli, grotticella-cucina",Felice Gino Lo Porto,1959,22,22,5,-751,-700,8,25,modellato a mano,,,,"Olla acroma tardogeometrica messapica a corpo globulare schiacciato, labbro orizzontale estroflesso, corto collo e piede a disco. Evidenti tracce di bruciato sul labbro, sulla spalla e al punto di massima espansione sul corpo. Proviene dal cd. ripostiglio.",1,3,1,1,2020/07/28,33,39,1
5,,333762,119939,null,43,467,2,3,16,45,null,Saturo,"Scavo dell'Acropoli, grotticella-cucina",Felice Gino Lo Porto,1959,22,22,5,-751,-700,8,25,modellato a mano,,,,"Brocca a corpo globulare tardogeometrica messapica, con labbro obliquo estroflesso, breve collo troncoconico, fondo concavo
ansa a nastro verticale sormontante e sellata. Decorata sull’orlo con fascia frangiata, sul collo fascia orizzontale, sulla spalla
motivi a sigma e a reticolo, sulla pancia losanghe piene entro pettini e catene di losanghe con punto interno fluttuanti,
sul fondo doppia croce inscritta, sull’ansa gruppi di sei linee orizzontali tra due fasce verticali e sull’apice losanghe campite. Proviene dal cd. ripostiglio.",8,3,1,1,2020/07/28,33,39,1
6,,333760,119937,null,43,467,2,3,16,45,null,Saturo,"Scavo dell'Acropoli, grotticella-cucina",Felice Gino Lo Porto,1959,22,22,5,-751,-700,8,25,modellato a mano,,,,"brocca a corpo globulare tardogeometrica messapica, con labbro orizzontale estroflesso, collo
troncoconico, fondo concavo, priva dell'ansa. Decorata sull’orlo con raggiera, fascia bruna in corrispondenza
dell’orlo, sul collo sigma tra fasce orizzontali, sulla spalla fasce orizzontali da cui scendono pettini, sul fondo motivo a
croce doppia inscritta. Proviene dal vano d'accesso alla ""grotticella-cucina"".",8,3,1,1,2020/07/28,33,39,1
7,,333761,119938,null,43,467,2,3,16,45,null,Saturo,"Scavo dell'Acropoli, grotticella-cucina",Felice Gino Lo Porto,1959,22,22,5,-751,-700,8,25,modellato a mano,,,,"brocca a corpo globulare tardogeometrica messapica, collo troncoconico,
decorata con fascia orizzontale sul collo e sigma e reticoli tra fasce orizzontali.",8,3,1,1,2020/07/28,33,39,1
8,,333764,119945,null,43,586,2,3,16,45,null,Saturo,"Scavo dell'Acropoli, grotticella-cucina",Felice Gino Lo Porto,1959,22,22,5,-751,-700,8,25,modellato a mano,,,,"scodella tardogeometrica messapica con orlo leggermente inflesso, piede a disco e
presa orizzontale apicata. Decorata sull’orlo con una serie di tratti verticali, all’esterno con fasce e linee orizzontali
e parallele. Proviene dal cd. ripostiglio.",4,3,1,1,2020/07/28,33,39,1
9,,333756,119826,null,44,639,2,3,16,45,null,Saturo,"Scavo dell'Acropoli, grotticella-cucina",Felice Gino Lo Porto,1959,22,22,8,-750,-726,8,25,tornio,,,,"boccale tardogeometrico corinzio. Se ne conserva circa metà senza ansa e piede. Orlo semplice, collo rettilineo, corpo globulare. Decorato su tre quarti della superficie a linee parallele interrotte alla base della spalla da gruppi di sei sigma a tre tratti, parte bassa della vasca a vernice unita. Proviene dallo strato di chiusura della struttura.",8,3,1,1,2020/07/28,33,39,1
10,,333160,119925,null,45,697,2,3,16,45,null,Saturo,"Scavo dell'Acropoli, grotticella-cucina",Felice Gino Lo Porto,1959,22,22,22,,,8,25,modellato a mano,,,,fuseruola biconica d'impasto con foro passante.,10,3,1,1,2020/07/28,33,39,1
11,,333159,119924,null,33,258,2,3,16,45,null,Saturo,"Scavo dell'Acropoli, grotticella-cucina",Felice Gino Lo Porto,1959,22,22,22,,,8,25,modellato a mano,,,,peso da telaio in impasto di forma cilindrica con foro obliquo. Proviene dal cd. ripostiglio,10,3,1,1,2020/07/28,33,39,1
