id,scheda,dtm
1,,13
1,,23
2,,13
2,,23
3,,13
3,,23
4,,13
4,,23
5,,13
5,,23
6,,13
6,,23
7,,13
7,,23
8,,13
8,,23
9,,13
9,,23
10,,13
10,,23
11,,13
11,,23
12,,13
12,,23
13,,13
13,,23
14,,13
14,,23
15,,13
15,,23
16,,13
16,,23
17,,13
17,,23
18,,13
18,,23
19,,13
19,,23
20,,13
20,,23
21,,13
21,,23
22,,13
22,,23
23,,13
23,,23
24,,13
24,,23
25,,13
25,,23
27,,13
27,,23
28,,13
28,,23
29,,13
29,,23
30,,13
30,,23
31,,13
31,,23
32,,13
32,,23
33,,13
33,,23
34,,13
34,,23
35,,13
35,,23
36,,13
36,,23
37,,13
37,,23
38,,13
38,,23
39,,13
39,,23
40,,13
40,,23
41,,13
41,,23
42,,13
42,,23
43,,13
43,,23
44,,13
44,,23
45,,13
45,,23
46,,13
46,,23
47,,13
47,,23
48,,13
48,,23
49,,13
49,,23
50,,13
50,,23
51,,13
51,,23
52,,13
52,,23
53,,13
53,,23
54,,13
54,,23
55,,13
55,,23
56,,13
56,,23
57,,13
57,,23
58,,13
58,,23
59,,13
59,,23
60,,13
60,,23
61,,13
61,,23
62,,13
62,,23
63,,13
63,,23
64,,13
64,,23
65,,13
65,,23
66,,13
66,,23
67,,13
67,,23
68,,13
68,,23
69,,13
69,,23
70,,13
70,,23
71,,13
71,,23
72,,13
72,,23
73,,13
73,,23
74,,13
74,,23
75,,13
75,,23
76,,13
76,,23
77,,13
77,,23
78,,13
78,,23
79,,13
79,,23
80,,13
80,,23
81,,13
81,,23
82,,13
82,,23
83,,13
83,,23
84,,13
84,,23
85,,13
85,,23
86,,13
86,,23
87,,13
87,,23
88,,13
88,,23
89,,13
89,,23
90,,13
90,,23
91,,13
91,,23
92,,13
92,,23
93,,13
93,,23
94,,13
94,,23
95,,13
95,,23
96,,13
96,,23
97,,13
97,,23
98,,13
98,,23
99,,13
99,,23
100,,13
100,,23
101,,13
101,,23
102,,13
102,,23
103,,13
103,,23
104,,13
104,,23
105,,13
105,,23
106,,13
106,,23
107,,13
107,,23
108,,13
108,,23
109,,13
109,,23
110,,13
110,,23
111,,13
111,,23
112,,13
112,,23
113,,13
113,,23
114,,13
114,,23
115,,13
115,,23
116,,13
116,,23
117,,13
117,,23
118,,13
118,,23
119,,13
119,,23
120,,13
120,,23
121,,13
121,,23
122,,13
122,,23
123,,13
123,,23
124,,13
124,,23
125,,13
125,,23
126,,13
126,,23
127,,13
127,,23
128,,13
128,,23
129,,13
129,,23
130,,13
130,,23
131,,13
131,,23
132,,13
132,,23
133,,13
133,,23
134,,13
134,,23
135,,13
135,,23
136,,13
136,,23
137,,13
137,,23
138,,13
138,,23
139,,13
139,,23
140,,13
140,,23
141,,13
141,,23
142,,13
142,,23
143,,13
143,,23
144,,13
144,,23
145,,13
145,,23
146,,13
146,,23
147,,13
147,,23
148,,13
148,,23
149,,13
149,,23
150,,13
150,,23
152,,13
152,,23
153,,13
153,,23
154,,13
154,,23
155,,13
155,,23
156,,13
156,,23
157,,13
157,,23
158,,13
158,,23
159,,13
159,,23
160,,13
160,,23
161,,13
161,,23
162,,13
162,,23
163,,13
163,,23
164,,13
164,,23
165,,13
165,,23
166,,13
166,,23
167,,13
167,,23
168,,13
168,,23
169,,13
169,,23
170,,13
170,,23
171,,13
171,,23
172,,13
172,,23
173,,13
173,,23
174,,13
174,,23
175,,13
175,,23
176,,13
176,,23
177,,13
177,,23
178,,13
178,,23
179,,13
179,,23
180,,13
180,,23
181,,13
181,,23
182,,13
182,,23
183,,13
183,,23
184,,13
184,,23
185,,13
185,,23
186,,13
186,,23
187,,13
187,,23
188,,13
188,,23
189,,13
189,,23
190,,13
190,,23
191,,13
191,,23
192,,13
192,,23
