id,scheda,materia,tecnica
60,,48,a matrice
383,,48,a matrice
64,,253,a matrice
142,,253,a matrice
595,,253,a matrice
139,,253,"a matrice,a mano"
143,,253,"a matrice,a mano"
125,,253,a stampo
145,,253,a tornio lento
11,,48,al tornio
12,,48,al tornio
17,,48,al tornio
18,,48,al tornio
21,,48,al tornio
22,,48,al tornio
23,,48,al tornio
29,,48,al tornio
35,,48,al tornio
42,,48,al tornio
43,,48,al tornio
44,,48,al tornio
54,,48,al tornio
55,,48,al tornio
56,,48,al tornio
57,,48,al tornio
58,,48,al tornio
59,,48,al tornio
62,,48,al tornio
63,,48,al tornio
109,,48,al tornio
111,,48,al tornio
127,,48,al tornio
128,,48,al tornio
130,,48,al tornio
131,,48,al tornio
132,,48,al tornio
133,,48,al tornio
174,,48,al tornio
175,,48,al tornio
176,,48,al tornio
183,,48,al tornio
184,,48,al tornio
219,,48,al tornio
220,,48,al tornio
418,,48,al tornio
222,,184,Tecnica non presente in lista
190,,184,Tecnica non presente in lista
53,,22,doratura a caldo
97,,22,doratura a caldo
98,,22,doratura a caldo
123,,184,Tecnica non presente in lista
113,,22,"fusione,doratura"
114,,22,"fusione,doratura"
240,,184,Tecnica non presente in lista
248,,184,Tecnica non presente in lista
165,,34,Tecnica non presente in lista
236,,184,Tecnica non presente in lista
319,,184,Tecnica non presente in lista
320,,184,Tecnica non presente in lista
166,,6,Tecnica non presente in lista
167,,6,Tecnica non presente in lista
445,,18,Tecnica non presente in lista
446,,18,Tecnica non presente in lista
475,,18,Tecnica non presente in lista
476,,18,Tecnica non presente in lista
529,,18,Tecnica non presente in lista
524,,18,Tecnica non presente in lista
590,,18,Tecnica non presente in lista
170,,22,Tecnica non presente in lista
171,,22,Tecnica non presente in lista
181,,22,Tecnica non presente in lista
16,,22,Tecnica non presente in lista
19,,22,Tecnica non presente in lista
25,,22,Tecnica non presente in lista
40,,22,Tecnica non presente in lista
46,,22,Tecnica non presente in lista
47,,22,Tecnica non presente in lista
92,,22,Tecnica non presente in lista
93,,22,Tecnica non presente in lista
94,,22,Tecnica non presente in lista
95,,22,Tecnica non presente in lista
99,,22,Tecnica non presente in lista
115,,22,Tecnica non presente in lista
124,,22,Tecnica non presente in lista
136,,22,Tecnica non presente in lista
156,,22,Tecnica non presente in lista
213,,22,Tecnica non presente in lista
338,,22,Tecnica non presente in lista
339,,22,Tecnica non presente in lista
490,,22,Tecnica non presente in lista
