id,scheda,nctn,inventario,suffisso,cmpd,titolo,deso,l3,l4,piano,sala,contenitore,comune,via,geonote,dtzgi,dtzgf,dtzs,dtsi,dtsf,stcc,oss
2,,349179,40140,,09/03/2020,Melillo-349179,"Collana costituita da sei vaghi ovoidali a superficie liscia e nove sferici ottenuti a stampo con doppia matrice, decorati a rilievo con motivi spiraliformi intervallati da punti e presentano una godronatura nel punto di massima espansione. Il terminale (lungo cm 2,6) con foro passante (il diametro misura cm 0,9-1,2) ha una forma conica. Sulla superficie esterna degli elementi c'è un'applicazione di sfoglia aurea. I vaghi risultano sciolti, privi del filo di raccordo; manca uno dei due terminali e la doratura risulta scrostata in più punti. Il reperto proviene dalla tomba 1 rinvenuta il 15.09.1976 a Taranto in via D. Alighieri, angolo via Leonida. Il modello con cui è esposta costituisce una proposta di ricostruzione del modello originale. Per la presenza di vaghi di varia forma si presta a diverse letture interpretative. La forma dei vaghi è attestata nella produzione orafa tarantina già nella prima metà del IV secolo a.C. Sull base bibliografica si propone una datazione alla seconda metà del IV secolo a.C.",4,35,1,7,8,108,Via D. Alighieri,,33,33,5,350,301,8,
3,,349180,40141,,09/03/2020,Melillo-349180,"Collana in terracotta costituita da sei vaghi ovoidali a superficie liscia e nove ottenuti a stampo, decorati a ""granulazione"" con godronatura nel punto di massima espansione. Il terminale ha una forma conica e un foro passante. Il pendente, ottenuto a stampo, rappresenta ipoteticamente una testa maschile; presenta la parte posteriore piana con foro passante verticale. tutti gli elementi presentano una sfoglia aurea sulla superficie esterna. I vaghi risultano sciolti, privi del filo di raccordo. Manca uno dei due terminali e la doratura risulta scrostata in più punti. Proviene dalla tomba 1 rinvenuta il 15.09.1976 a Taranto in via Dante angolo via Leonida.",4,35,1,7,8,108,Via D. Alighieri,,33,33,5,350,301,8,
16,,349189,121477,,09/03/2020,Melillo-349189,"Diadema tubolare in argento sottoposto a una doratura a caldo e caratterizzato da una lamina tubolare, cava all'interno. Risulta privo delle estremità, contorto e lacunoso; all'interno otturato da concrezioni. Rinvenuto il 18.09.1962 nella tomba 1 tra via Minniti, via Dante e via Crispi, a Taranto.",4,38,1,7,8,108,Via Francesco Bruno,Ospedale civile SS. Annunziata,33,33,,330,320,8,
27,,349195,121489,,09/03/2020,Melillo-349195,"Quattro anelli in bronzo, caratterizzati da verga a sezione circolare. Risultano ossidati. Proviengono dalla tomba 1 rinvenuta a Taranto in via Minniti il 18.09.1962. L'intero complesso tombale è databile agli ultimi decenni del IV secolo a.C., più precisamente intorno al decennio 330-320 a.C.",4,28,1,7,8,108,Via Francesco Bruno,Ospedale civile SS. Annunziata,33,33,,330,320,1,
1,,349178,40139,,09/03/2020,Melillo-349178,"Orecchino a navicella in oro in doppia lamina saldata con ardiglione filiforme che si assottiglia verso l'estremità libera; decorata intorno alle estremità da un filo godronato tra due lisci e da un collarino di petali filigranati. Nella parte mediana, in senso verticale, è decorata da due serie di ovoli filigranati, simmetricamente contrapposti ai lati lati del filo godronato tra due lisci, da cui pendono tre globetti di grandezza decrescente. Lamina dissaldata nella curva superiore e ammaccata in più punti; ardiglione lievemente contorto. Dalla tomba 1 rinvenuta in via Dante angolo via Leonida il 15.09.1976. Il corredo tombale da cui proviene è privo di materiale ceramico, ma è stato datato sulla base del confronto con il corredo tombale da cui proviene la coppia di orecchini n. inv. 4565 A e 4565 B, che presenta la stessa associazione di oreficeria (collana a vaghi sferici, anello con scarabeo in oro e orecchino a navicella).",4,42,1,7,8,108,Via D. Alighieri,,33,33,8,350,326,1,
4,,349181,40142,,09/03/2020,Melillo-349181,"Anello con castone a scarabeo mobile in oro. Lo scarabeo è vuoto all'interno, costituito da due lamine auree giustapposte riproducenti l'una il dorso, l'altra la faccia piana recante la raffigurazione. Il dorso, modellato a sbalzo è arricchito con dettagli incisi: triplice linea di separazione delle alette al cui attacco è presente il caratteristico motivo a fascia di segmenti obliqui; linea dorsale a tratteggio, minuscoli occhi circolari ad orbita cava, zampette lisce e base alquanto appiattita. Sul castone è raffigurata una figura femminile seduta con il capo chino in avanti e il corpo di tre quarti. Indossa un lungo chitone a fitte piegoline con le gambe avvolte nell'himation; sulla testa ha un ampio velo che si spiega sulle spalle e discende lungo il lato destro del corpo formando lo sfondo dell'immagine; il braccio destro è abbassato, la mano sul ginocchio. Il filo aureo che regge lo scarabeo attraversa i terminali della verga conformati a cupoletta e si avvolge a più giri intorno al cerchio. La verga è piatta all'interno e arrotondata all'esterno. La lamina risulta rotta in due punti presso la mano sinistra della figura. Lo scarabeo misura cm 1,4x1. Rinvenuto il 15.09.1976 nella tomba 1 a Taranto in via Dante.",4,28,1,7,8,108,Via D. Alighieri,,33,33,8,350,326,1,
5,,349188,54167,,09/03/2020,Melillo-349188,"Anello in oro caratterizzato da un castone su cui è raffigurata una rosetta con il bottone contornato da otto petali, realizzato con una lamina aurea lavorata a sbalzo e quindi opportunamente ritagliata. Il castone, di forma circolare, ha uno sviluppo dal profilo curvilineo; la verga filiforme è interrotta inferiormente, presenta le estremità a testa di serpente, ritorta su ambedue i lati del cerchio. Rinvenuto il 22.04.1954 nella tomba 1 in via Giovine a Taranto.",4,28,1,7,8,108,Via Giovan Giovine,,33,33,8,350,326,1,
6,,349183,54753,A,09/03/2020,Melillo-349183,"Orecchino ad elice in oro in associazione con n. 54753 B; le estremità della spirale è ornata da piccole teste femminili bifronti realizzate a stampo. Corpo tubolare di lamina, cavo all'interno, ingrossato al centro e desinente in due protomi femminili, ciascuna composta da due parti ottenute a stampo e saldate insieme. Le testine, con capelli bipartiti sulla fronte e raccolti sulla nuca in un sakkos con maglia a reticolo, indossano orecchini ad elice, caratterizati da un sottile filo godronato avvolto a spirale. Le protomi sono inserite in un collarino decorato alle estremità da una coppia di fili godronati che racchiudono un filo ondulato in filigrana. Nella parte centrale della spirale si sviluppa una complessa decorazione in filigrana costituita da due tralci floreali che dipartono da un cespo di acanto, con fiore di lilio godronato centrale, in maniera simmetrica, con un motivo di foglie, rosette a quattro e tre petali e campanule, le quali, contrapposte, sono sormontate da una coppia di colombe affrontate, tra le quali è inserita una rosetta a tre petali con bottone centrale. Presso i terminali, sui collarini, sono presenti due fori passanti. Le lamine risultano schiacciate e lacunose; entrambe le protomi sono schiacciate. Proviene dalla Tomba 5 rinvenuta in via Cagliari il 03.07.1954",4,42,1,7,8,108,Via Cagliari,,33,33,3,361,340,1,
7,,349184,54753,B,09/03/2020,Melillo-349184,"Orecchino ad elice in oro in associazione con n. 54753 A; le estremità della spirale è ornata da piccole teste femminili bifronti realizzate a stampo. Corpo tubolare di lamina, cavo all'interno, ingrossato al centro e desinente in due protomi femminili, ciascuna composta da due parti ottenute a stampo e saldate insieme. Le testine, con capelli bipartiti sulla fronte e raccolti sulla nuca in un sakkos con maglia a reticolo, indossano orecchini ad elice, caratterizati da un sottile filo godronato avvolto a spirale. Le protomi sono inserite in un collarino decorato alle estremità da una coppia di fili godronati che racchiudono un filo ondulato in filigrana. Nella parte centrale della spirale si sviluppa una complessa decorazione in filigrana costituita da due tralci floreali che dipartono da un cespo di acanto, con fiore di lilio godronato centrale, in maniera simmetrica, con un motivo di foglie, rosette a quattro e tre petali e campanule, le quali, contrapposte, sono sormontate da una coppia di colombe affrontate, tra le quali è inserita una rosetta a tre petali con bottone centrale. Presso i terminali, sui collarini, sono presenti due fori passanti. Le lamine risultano schiacciate e lacunose; entrambe le protomi sono schiacciate. Proviene dalla Tomba 5 rinvenuta in via Cagliari il 03.07.1954",4,42,1,7,8,108,Via Cagliari,,33,33,3,361,340,1,
8,,349185,54754,,09/03/2020,Melillo-349185,"Anello in oro caratterizato da un castone piatto di forma ellittica, con margini assottigliati inferiormente in maniera non omogenea. La verga ha il profilo esterno arrotondato, mentre all'interno la costolatura iniziale si va progressivamente appiattendo. Sul castone è raffigurata una figura femminile seduta, ipoteticamente Afrodite, rivolta a sinistra, verso la quale è in volo un piccolo Erote. L'incisione, dettagliata nella resa della veste, un lungo chitone a mezze maniche dalle fitte piegoline, ad alta cintura, su cui si sovrappone all'altezza delle gambe a un mantello posto trasversalemente, è invece sommaria e incompleta nel resto della raffigurazione. Il castone, che misura cm 1,6x1,1, presenta delle graffiature; la verga appare in più punti schiacciata, come se fosse stata sottoposta alla morsa di uno strumento. L'anello è stato rinvneuto nella tomba 5 a Taranto in via Cagliari il 03.07.1954.",4,28,1,7,8,108,Via Cagliari,,33,33,8,350,326,1,
9,,349182,62986,,09/03/2020,Melillo-349182,"Diadema tubolare in piombo dipinto di colore giallo per l'imitazione ""povera"" dei monili aurei simili, di cui, però, si perde il rigonfiamento centrale. È caratterizzato da un cilindro ricurvo a sezione irregolare con estremità schiacciate. Risulta spezzato alle punte, il colore è in parte evanido e presenta incrostazioni calcaree. La corda è lunga cm 14. Rinvenuto il 03..07.1954 nella Tomba 13 in via Cagliari a Taranto.",4,38,1,7,8,108,Via Cagliari,,33,33,5,350,301,1,
