id,scheda,cmpd,nctn,inventario,suffisso,titolo,l3,l4,piano,sala,contenitore,comune,via,geonote,dtzgi,dtzgf,dtzs,dtsi,dtsf,dtm,materia,tecnica,misa,misl,mislu,misp,misd,deso,stcc,oss
98,,22/04/09,349789,40056,,Speira-349789,43,443,1,8,21,64,,,27,27,5,-250,-201,13,22,doratura,,,3.2,,,"alabastron in argento e doratura a parete rettilinea e fondo convesso. La porzione superiore poteva in un settore con decorazione a rilievo, a giudicare dall'accenno di una rientranza conservatosi nel frammento superstite, a mò di cavetto. Presso il fondo si osserva un motivo decorativo ad onde dorate tra due linee puntinate. Privo di quasi tutto il corpo",8,scavo del 1928  Tomba degli Ori
94,,22/08/21,349785,22429,,Speira-349785,29,215,1,8,21,64,,,27,27,9,-275,-201,13,22,doratura,4,,16,,,"Due valve imitanti la forma del Pecten Jacobaeus, unite da una cerniera. Le due valve, congiuntamente all'emblema interno che decorava la valva superiore (n. inv. 22430), formano una teca portagioie. Il coperchio è decorato esternamente con orlo decorato di segmenti incisi a raggiera, con le nervature interne della conchiglia che costituiva il corpo del portagioie stesso. Il disco centrale rappresenta una Nereide dal seno nudo che rialza con la mano destra un lembo del mantello dietro il capo, mentre con la sinistra si regge al collo di una leionessa marina sulla quale siede in groppa. La leonessa ha coda filiforme e ruota su onde incise a cirri. Le squame, i peli, i capelli sono cesellati; nell'occhio è incastonato un rubino. Il manico mobile è semicircolare; sul dorso superiore della cerniera vi è l'iscrizione a puntinatura in lingua messapica ΟΠΑΚΑΣ ΣΑΒΑΛΕΙΔΑΣ (di Opaka Sabaleida). Associato al successivo (n. inv. 22430). Superficie in qualche modo graffiata; lacunoso ai bordi delle due valve; ricomposte da vari frammenti.",8,scavo del 1928  Tomba degli Ori
95,,22/07/13,349786,22430,,Speira-349786,29,215,1,8,21,64,,,27,27,9,-275,-201,13,22,doratura,4,,16,,,"Emblema interno che decorava la valva superiore di una teca portagioie (n. inv. 22429).Sul disco è rappresentata una Nereide a torso nudo e mantello dorato intorno ai fianchi e ricadente con un lembo verso il basso, con armille alle braccia, ventaglio nella mano sinistra e acconciatura a melone. Volta di spalle con la testa di profilo, è seduta in groppa ad un drago marino dalla grande coda pisciforme e dalle piume fogliate, che nuota su onde stilizzate a volute.Il coperchio è decorato con orlo decorato di segmenti incisi a raggiera, con le nervature interne della conchiglia che costituiva il corpo del portagioie stesso. Il disco centrale rappresenta una Nereide dal seno nudo che rialza con la mano destra un lembo del mantello dietro il capo, mentre con la sinistra si regge al collo di una leionessa marina sulla quale siede in groppa. La leonessa ha coda filiforme e ruota su onde incise a cirri. Le squame, i peli, i capelli sono cesellati; nell'occhio è incastonato un rubino. Il manico mobile è semicircolare; sul dorso superiore della cerniera vi è l'iscrizione a puntinatura in lingua messapica ΟΠΑΚΑΣ ΣΑΒΑΛΕΙΔΑΣ (di Opaka Sabaleida). Associato al precedente (n. inv. 22429). Superficie in qualche modo graffiata; lacunoso ai bordi delle due valve; ricomposte da vari frammenti.",8,scavo del 1928  Tomba degli Ori
96,,22/06/09,349787,22436,,Speira-349787,49,763,1,8,21,64,,,27,28,15,-210,-190,13,184,doratura,19.5,17.5,,,,"Coperchio a pressione di uno specchio frammentrio a teca o a scatola in argento e doratura composto da due elementi circolari. Il coperchio è decorato su entrambi i lati e con profilo ornato a spina di pesce. La decorazione esterna, a sbalzo, è costituita da una figura muliebre (Musa o A frodite?), sbalzata ad alto rilievo, con torso nudo di tre quarti e in posizione centrale, seduta presso una stele e attorniata da Eroti. Il capo, volto verso destra, è quasi di profilo. Nella mano sinistra abbassata tiene una maschera, il braccio destro è mancante. Un Erote è di tre quarti, seduto ed intento a suonare la siringa; al di sopra resta parte di un altro Erote, forse auleta. Di un terzo Erote resta solo la testa. L'altro lato del coperchio presenta tre fasce concentriche decorate con motivi vegetali e fiore centrale geometrizzato a petali alternati. Sul retro della superficie specchiante sono tre cerchi concentrici.Superficie in qualche punto graffiata; ricomposto da frammenti; lacunoso ai bordi delle valve.",8,scavo del 1928  Tomba degli Ori
100,,22/08/05,349791,22431,,Speira-349791,45,68,1,8,21,64,,,27,28,15,-210,-190,13,22,doratura,,,18.5,,,"Ago crinale in argento e doratura. Testa a sfera leggermente compressa, ornata al punto massimo di espansione da un motivo dorato ad onde ricorrenti in parte campite da puntinatura; alla base, serto di foglie dorate; asta a verga cilindrica affusolata verso l'estremità inferiore.",1,scavo del 1928  Tomba degli Ori
101,,22/02/16,349792,22418,,Speira-349792,59,850,1,8,21,64,,,27,28,15,-210,-190,13,22,doratura,12,,,,,"Lamina in argento e doratura, ricurva e saldata a forma di corno ricurvo di bovide. La base, ribattuta, mostra fori per l'applicazione di un sostegno tramite chiodini. Lacunoso, doratura evanida, restaurato",4,scavo del 1928  Tomba degli Ori
6,,22/02/27,345409,55264,,Speira-345409,32,235,2,26,46,243,,Contrada Palata,24,24,,-600,-501,13,34,fusione,3.7,7.7,,,,"Bronzetto in forma di coppia di buoi stilizzati, caratterizzato da corpo allungato con zampe divaricate; occhi rilevati; giogo costituito da un listello sormontato da bugne.",2,scavo del 1936 
4,,22/04/23,345407,55262,,Speira-345407,32,235,2,26,46,243,,Contrada Palata,24,24,,-600,-501,13,34,fusione,9.2,11.6,,,,"Bronzetto in forma di anatra stilizzata, caratterizzato da corpo appiattito scandito da solttili cordoni, becco largo e aperto e zampe massicce.",2,scavo del 1936 
3,,22/06/21,345406,55261,,Speira-345406,32,235,2,26,46,243,,Contrada Palata,24,24,,-600,-501,13,34,fusione,16,13.2,,,,"Bronzetto in forma di cane stilizzato, caratterizzato da corpo sottile e allungato e zampe divaricate.",2,scavo del 1936 
5,,22/10/13,345408,55263,,Speira-345408,32,235,2,26,46,243,,Contrada Palata,24,24,,-600,-501,13,34,fusione,8.2,14.1,,,,"Bronzetto in forma di anatra stilizzata,caratterizzato da corpo appiattito scandito da solttili cordoni, becco largo e aperto e zampe massicce. Sul dorso sono visibili due anatroccoli",2,scavo del 1936 
528,,22/09/06,350249,12311,,Speira-350249,32,235,1,9,fuori vetrina,108,,,28,28,,-200,-101,13,34,fusione,5.7,6.7,,,,"Bronzetto rappresentante Eracle bambino nell'atto di strozzare il serpente. Eracle è rappresentato nudo e seduto, con la testa leggermente inclinata verso sinistra, mentre osserva il serpente attorcigliato al suo braccio sinistro poggiato a terra. Il braccio destro è sollevato nell'atto di strozzare il serpente. Superficie ossidata.",2, 
529,,22/09/27,350250,51802,,Speira-350250,32,235,1,9,fuori vetrina,108,Via L. Viola,"Via L. Viola, Convento di Sant'Antonio",28,28,,-200,-101,23,34,fusione,7.5,,,,,Bronzetto rappresentante Eracle. Ha il capo coperto dalla leontè (pelle di leone) che scende sulle spalle; con la mano destra regge la clava. Il volto è coperto da barba e boccoli. La figura è rappresentata stante sulla destra e con la sinistra flessa e avanazata. La resa anatomica è molto accurata. Mancante del braccio sinistro; superficie in gran parte corrosa,3,scavo del 1999 Amb. IX
40,,22/06/03,345443,144240,,Speira-345443,4,43,2,26,46,64,,Contrada Toppicelli,23,23,9,-625,-601,13,184,granulazione,6.2,5.4,,,,"pendaglio in oro a lamina trapezoidale con anello di sospensione. Decorazione realizzata con filo liscio godronato, nella tecnica a granulazione. Sul bordo, decorazione ad onda tra due motivi a treccia sottile; nel campo, motivo floreale stilizzato, caratterizzato da quattro archi terminanti a spirale e disposti a croce con al centro due cerchi concentrici circoscritti da una sferetta. Gancio circolare decorato da due bastoncelli perlinati. Piccola ammaccatura in corrispondenza dell'angolo superiore sinistro.",2,scavo del 1975 Tomba 13
104,,22/03/12,349795,22433,,Speira-349795,45,698,1,8,21,64,,,27,28,15,-210,-190,13,186,intaglio,,,34,,,Fuso in osso. Asta di forma allungata e affusolata con estremità ornata da incisioni e terminazione a forma di cervo ricavato con intaglio a giorno.,2,scavo del 1928  Tomba degli Ori
277,,22/09/18,349997,52504,,Speira-349997,65,913,1,9,23,108,Via Giovan Giovine,,26,27,15,-310,-290,13,186,intaglio,,,,,,elemento in osso a forma di mano con foro passante. Ricomposta da due pezzi troncati all'altezza del polso. Superficie abrasa,6,scavo del 1951 Tomba 22
103,,22/06/16,349794,22419,,Speira-349794,45,690,1,8,21,64,,,27,28,15,-210,-190,13,186,intaglio,,,23,,,"conocchia in osso.Asta sagomata ed ornata da serie di incisioni, con estremità terminante con un disco. In tre frammenti",5,scavo del 1928  Tomba degli Ori
471,,22/03/14,350192,64703,,Speira-350192,30,223,1,9,29,108,Viale Magna Grecia,"Contrada Carmine, Viale Magna Grecia ang. Corso Italia, da un deposito votivo",26,27,15,-310,-290,13,25,matrice,8,4,,,,"frammento di rilievo policromo rappresentante Apollo Hyakinthos con lira, con corona di edera e himation ricadente sulle spalle. La testa è leggermente sollevata e rivolta verso destra; i capelli sono sciolti e ricadono sulle spalle. Sulla superficie tracce di scialbatura e di colore rosa. Lacunoso di braccia e corpo dalla vita in giù; policromia evanida",8,scavo del 1950 
484,,22/10/18,350205,64400,,Speira-350205,30,223,1,9,29,108,Viale Magna Grecia,"Contrada Carmine, Viale Magna Grecia ang. Corso Italia, da un deposito votivo",26,27,15,-310,-290,13,25,matrice,8.5,5,,,,"frammento di rilievo policromo rappresentante Polyboia adorna di corona e orecchini.La testa è leggermente rivolta verso sinistra, i capelli sono sciolti e ricadono sulle spalle. Sulla superficie tracce di scialbatura. Si conservano solo la testa e parte del busto",8,scavo del 1950 
