scheda_temp,scheda,biblio_temp,biblio,contributo_temp,contributo,pagine,figura,livello
1,,,178,,,p. 210,"E3-39, 1",4
1,,11,,66,,p. 340,Tav. LXVI.30.11a,4
2,,,173,33,,pp. 501-502,,4
2,,11,,66,,pp. 325-328,,4
3,,,173,33,,pp. 501-502,,4
3,,11,,66,,pp. 325-328,,4
4,,,173,33,,pp. 501-502,,4
4,,11,,66,,pp. 325-328,,4
5,,,173,33,,pp. 501-502,,4
5,,11,,66,,pp. 325-328,,4
6,,,173,33,,pp. 501-502,,4
6,,11,,66,,pp. 325-328,,4
7,,,173,33,,pp. 501-502,,4
7,,11,,66,,pp. 325-328,,4
8,,,173,33,,pp. 501-502,,4
8,,11,,66,,pp. 325-328,,4
9,,,173,33,,pp. 501-502,,4
9,,11,,66,,pp. 325-328,,4
10,,,161,,,p. 107,9.2,4
10,,,173,38,,pp. 489-490 31,,4
11,,,161,,,p. 107,9.3,4
11,,,173,38,,p. 490 32,,4
12,,,161,,,p. 107,9.5,4
12,,,173,38,,p. 490 34,,4
13,,,161,,,p. 107,9.4,4
13,,,173,38,,p. 490 33,,4
14,,,161,,,p. 107,9.1,4
14,,,173,38,,p. 489 30,,4
15,,,161,,,p. 71,3.1,4
15,,,173,36,,p. 465 11,,4
16,,,161,,,p. 71,3.2,4
16,,,173,36,,p. 465 11,,4
17,,,161,,,p. 71,3.2,4
17,,,173,36,,p. 465 11,,4
18,,,161,,,p. 71,3.2,4
18,,,173,36,,p. 465 11,,4
19,,,161,,,p. 85,5.1,4
19,,,173,36,,p. 473 4,,4
20,,,161,,,p. 85,5.2,4
20,,,173,36,,p. 473 4,,4
21,,,161,,,p. 173,29.1,4
21,,,173,32,,p. 504 16,,4
22,,,161,,,p. 173,29.2,4
22,,,173,32,,p. 504 17,,4
23,,,161,,,p. 207,48.1,4
23,,11,,67,,p. 137,Tav. XXVIII.13.5a,4
24,,,161,,,p. 201,39.1,4
24,,14,,78,,p. 85,,4
25,,,161,,,p. 196,38.1,4
25,,5,,44,,p. 258,20.25,4
27,,,161,,,p. 203,42.1,4
27,,1,,2,,p. 295,fig. 146,4
28,,,56,,97,p. 343,fig. 286,4
28,,,161,,,p. 192,37.1,4
29,,,56,,97,p. 343,fig. 286,4
29,,,161,,,p. 192,37.2,4
30,,,56,,97,p. 343,fig. 286,4
30,,,161,,,p. 192,37.3,4
31,,,56,,97,p. 343,fig. 286,4
31,,,161,,,p. 192,37.4,4
32,,,56,,97,p. 343,fig. 286,4
32,,,161,,,p. 192,37.5,4
33,,,56,,97,p. 343,fig. 286,4
33,,,161,,,p. 192,37.6,4
34,,,56,,97,p. 343,fig. 286,4
34,,,161,,,p. 192,37.7,4
35,,,56,,97,p. 343,fig. 286,4
35,,,161,,,p. 192,37.8,4
36,,,56,,97,p. 343,fig. 286,4
36,,,161,,,p. 192,37.9,4
37,,,161,,,p. 205,45.2,4
