id_temp,scheda,materia,tecnica
1,,25,modellatura a tornio
2,,76,a intaglio
3,,76,a intaglio
4,,76,a intaglio
5,,76,a intaglio
6,,76,a intaglio
7,,76,a intaglio
8,,76,a intaglio
9,,76,a intaglio
10,,76,a intaglio
11,,76,a intaglio
12,,76,a intaglio
13,,76,a intaglio
14,,76,a intaglio
15,,76,a intaglio
16,,76,a intaglio
17,,76,a intaglio
18,,76,a intaglio
19,,76,a intaglio
20,,76,a intaglio
21,,6,a intaglio
22,,6,a intaglio
23,,6,a intaglio
24,,6,a intaglio
25,,6,a intaglio
26,,272,soffiatura libera
27,,6,a intaglio
28,,6,a intaglio
29,,6,a intaglio
30,,6,a intaglio
31,,6,a intaglio
32,,6,a intaglio
33,,6,a intaglio
34,,6,a intaglio
35,,6,a intaglio
36,,6,a intaglio
37,,6,a intaglio
38,,26,a intaglio
39,,6,a intaglio
40,,6,a intaglio
41,,6,a intaglio
42,,272,soffiatura libera
43,,6,a intaglio
44,,6,a intaglio
45,,6,a intaglio
46,,25,modellatura a tornio
47,,76,a intaglio
48,,76,a intaglio
49,,76,a intaglio
50,,76,a intaglio
51,,76,a intaglio
52,,76,a intaglio
53,,6,a intaglio
54,,6,a intaglio
55,,6,a intaglio
56,,6,a intaglio
57,,6,a intaglio
58,,186,a intaglio
59,,71,"fusione, battitura a caldo"
60,,71,"fusione, battitura a caldo"
61,,71,"fusione, battitura a caldo"
62,,71,fusione
63,,186,a intaglio
64,,186,a intaglio
65,,26,a intaglio
66,,22,a sbalzo
67,,71,"fusione, battitura a caldo"
68,,71,"fusione, battitura a caldo"
69,,34,"fusione, battitura"
70,,71,"fusione, battitura a caldo"
71,,25,modellatura a tornio
72,,186,a intaglio
73,,186,a intaglio
74,,34,fusione
75,,34,"fusione, battitura"
76,,208,fusione
77,,34,fusione
78,,34,"fusione, battitura"
79,,25,modellatura a tornio
80,,25,modellatura a tornio
81,,25,modellatura a tornio
82,,25,modellatura a tornio
83,,25,modellatura a tornio
84,,25,modellatura a tornio
85,,25,modellatura a tornio
86,,25,modellatura a tornio
87,,25,modellatura a tornio
88,,25,modellatura a tornio
89,,25,modellatura a tornio
90,,34,"fusione, battitura"
91,,25,modellatura a tornio
92,,25,modellatura a tornio
93,,25,modellatura a tornio
94,,25,modellatura a tornio
95,,22,fusione
96,,71,fusione
97,,71,"fusione, battitura a caldo"
97,,196,a intaglio
98,,71,"fisione, battitura a caldo"
98,,184,fusione
99,,196,a intaglio
99,,184,fusione
100,,34,fusione
101,,34,fusione
102,,25,modellatura a tornio
103,,25,modellatura a tornio
104,,25,modellatura a tornio
105,,25,modellatura a tornio
106,,25,modellatura a tornio
107,,25,modellatura a tornio
108,,25,modellatura a tornio
109,,25,modellatura a tornio
110,,25,modellatura a tornio
111,,25,modellatura a tornio
112,,25,modellatura a tornio
113,,25,modellatura a tornio
114,,25,modellatura a tornio
115,,25,modellatura a tornio
116,,22,a sbalzo
117,,25,modellatura a tornio
118,,25,modellatura a tornio
119,,25,modellatura a tornio
120,,272,soffiatura libera
121,,272,soffiatura libera
122,,272,soffiatura libera
123,,186,a intaglio
124,,71,fusione
124,,272,a intaglio
125,,272,soffiatura libera
126,,186,a intaglio
127,,186,a intaglio
128,,34,fusione
129,,34,fusione
130,,34,fusione
131,,34,fusione
132,,34,fusione
133,,34,fusione
134,,34,fusione
135,,34,"fusione, a intreccio"
136,,186,a intaglio
137,,34,"fusione, a intreccio"
138,,186,a intaglio
139,,186,a intaglio
140,,272,soffiatura libera
141,,34,"fusione, a intreccio"
142,,34,fusione
143,,71,fusione
144,,208,fusione
145,,71,fusione
146,,71,fusione
147,,34,fusione
147,,71,"fusione, battitura a caldo"
148,,34,fusione
149,,34,fusione
150,,34,fusione
151,,34,fusione
152,,34,fusione
152,,71,"fusione, battitura a caldo"
153,,34,fusione
153,,71,"fusione, battitura a caldo"
154,,34,fusione
155,,34,fusione
156,,34,fusione
157,,34,fusione
158,,186,a intaglio
159,,26,a intaglio
160,,26,a intaglio
161,,34,fusione
162,,34,fusione
163,,34,fusione
164,,34,fusione
165,,34,fusione
166,,186,a intaglio
167,,186,a intaglio
168,,25,a matrice
169,,25,a matrice
170,,25,a matrice
171,,25,a matrice
172,,25,a matrice
173,,272,colatura libera
174,,272,colatura libera
175,,26,a intaglio
176,,186,a intaglio
177,,186,a intaglio
178,,186,a intaglio
179,,34,fusione
180,,186,a intaglio
181,,186,a intaglio
182,,186,a intaglio
183,,71,fusione
184,,196,a intaglio
184,,184,fusione
185,,25,"modellatura a tornio, a matrice"
186,,25,"modellatura a tornio, a mano"
187,,25,a matrice
188,,25,a matrice
189,,25,modellatura a tornio
190,,25,"modellatura a tornio, invetriatura"
191,,25,"modellatura a tornio, invetriatura"
192,,25,modellatura a tornio
193,,25,modellatura a tornio
194,,25,modellatura a tornio
195,,25,modellatura a tornio
196,,25,a matrice
197,,34,"fusione, battitura"
198,,34,"fusione, battitura"
199,,34,"fusione, argentatura"
200,,25,modellatura a tornio
201,,22,fusione
201,,272,colatura libera
202,,196,a intaglio
202,,184,fusione
203,,25,a matrice
204,,26,a intaglio
205,,26,a intaglio
206,,26,a intaglio
207,,26,a intaglio
208,,26,a intaglio
209,,186,a intaglio
210,,26,a intaglio
211,,25,modellatura a tornio
212,,25,a matrice
213,,25,a matrice
214,,25,a matrice
215,,25,a matrice
216,,25,a matrice
217,,25,a matrice
218,,196,Tecnica non presente in lista
218,,184,fusione
219,,25,modellatura a tornio
220,,25,modellatura a tornio
221,,34,fusione
222,,272,a stampo
223,,272,a stampo
224,,186,Tecnica non presente in lista
225,,186,Tecnica non presente in lista
226,,186,Tecnica non presente in lista
227,,186,Tecnica non presente in lista
228,,186,Tecnica non presente in lista
229,,186,Tecnica non presente in lista
230,,186,Tecnica non presente in lista
231,,186,Tecnica non presente in lista
232,,186,Tecnica non presente in lista
233,,186,Tecnica non presente in lista
234,,186,Tecnica non presente in lista
235,,186,Tecnica non presente in lista
236,,186,Tecnica non presente in lista
237,,184,fusione
238,,26,a intaglio
239,,186,Tecnica non presente in lista
240,,186,Tecnica non presente in lista
241,,186,Tecnica non presente in lista
242,,186,Tecnica non presente in lista
243,,186,Tecnica non presente in lista
244,,186,Tecnica non presente in lista
245,,186,Tecnica non presente in lista
246,,186,Tecnica non presente in lista
247,,186,Tecnica non presente in lista
248,,186,Tecnica non presente in lista
249,,186,Tecnica non presente in lista
250,,186,Tecnica non presente in lista
251,,186,Tecnica non presente in lista
252,,186,Tecnica non presente in lista
253,,186,Tecnica non presente in lista
254,,26,a intaglio
255,,26,a intaglio
256,,26,a intaglio
257,,26,a intaglio
258,,272,a stampo
259,,272,a stampo
260,,272,a stampo
261,,272,a stampo
262,,272,a stampo
263,,272,a stampo
264,,272,a stampo
265,,272,a stampo
266,,186,Tecnica non presente in lista
267,,186,Tecnica non presente in lista
268,,186,Tecnica non presente in lista
269,,186,Tecnica non presente in lista
270,,186,Tecnica non presente in lista
271,,186,Tecnica non presente in lista
272,,186,Tecnica non presente in lista
273,,186,Tecnica non presente in lista
274,,186,a intaglio
275,,186,Tecnica non presente in lista
276,,186,Tecnica non presente in lista
277,,186,Tecnica non presente in lista
278,,25,a matrice
279,,25,a mano
280,,26,a intaglio
281,,186,a intaglio
282,,186,a intaglio
283,,186,a intaglio
284,,186,a intaglio
285,,186,a intaglio
286,,186,a intaglio
287,,186,a intaglio
288,,186,a intaglio
289,,186,a intaglio
290,,186,a intaglio
291,,186,a intaglio
292,,186,a intaglio
293,,186,a intaglio
294,,186,a intaglio
295,,186,a intaglio
296,,186,a intaglio
297,,186,a intaglio
298,,186,a intaglio
299,,186,a intaglio
