id_temp,scheda,cmpd,nctn,inv,suff,titolo,l3,l4,piano,sala,vetrina,comune,via,dtzgi,dtzgf,dtzs,dtsi,dtsf,dtm,misa,misl,misd,misn,miss,misv,deso,stcc,adsp,adsm,oss
1,,25/03/2022,346726,40828,,Stuani-346726,60,870,1,18,fuori vetrina,108,Piazza D'Armi,28,29,15,-125,-51,11,5.5,,,,7,5.3,"Calamaio tipo Hempel 615/4, parte superiore concava con foro centrale circolare, orlo interno indistinto sottolineato da un solco, corpo cilindrico rastremato verso il basso, fondo con piede ad anello. Vernice bruna scrostata. intero. Vi sono alcuni punti di contatto formali tra questo calamaio e la specie Morel 7740.",2,1,1,scavo del 1911 Tomba IX
2,,21/08/2022,347733,211673,,Stuani-347733,43,443,1,18,53,108,Piazza D'Armi,28,28,,-200,-101,11,21,,,,,,"Alabastron in gesso tipo Colivicchi I.1, basso collo cilindrico, corpo cilindrico allungato con spalla poco pronunciata, piede a disco con tre peduncoli. Due linee incise sulla spalla e sulla parte inferiore del corpo. Lacunoso nell'orlo e in parte del piede.",3,1,1,scavo del 1911 Tomba IV
3,,30/07/2020,347734,211674,,Stuani-347734,43,443,1,18,53,108,Piazza D'Armi,28,28,,-200,-101,11,19,,,,,4,"Alabastron in gesso tipo Colivicchi I.1, basso collo cilindrico, corpo cilindrico allungato con spalla poco pronunciata, piede a disco con tre peduncoli. Mancante dell'orlo, del collo e di parte del corpo e del piede.",3,1,1,scavo del 1911 Tomba IV
4,,15/07/2020,347735,211675,,Stuani-347735,43,443,1,18,53,108,Piazza D'Armi,28,28,,-200,-101,11,10,,,,,,"Alabastron in gesso tipo Colivicchi I.1, si conserva solo metà del corpo cilindrico allungato con spalla poco pronunciata. La cavità interna è stretta e poco profonda. ",8,1,1,scavo del 1911 Tomba IV
5,,20/07/2020,347736,211676,,Stuani-347736,43,443,1,18,53,108,Piazza D'Armi,28,28,,-200,-101,11,18,,,,,,"Alabastron in gesso tipo Colivicchi I.1, basso collo cilindrico, corpo cilindrico allungato con spalla poco pronunciata, piede a disco con tre peduncoli. Mancante dell'orlo, del collo e di parte del corpo e del piede.",3,1,1,scavo del 1911 Tomba IV
6,,13/03/2022,347737,211677,,Stuani-347737,43,443,1,18,53,108,Piazza D'Armi,28,28,,-200,-101,11,12,,,,,,"Alabastron in gesso tipo Colivicchi I.1, basso collo cilindrico, corpo cilindrico allungato con spalla poco pronunciata, piede a disco con tre peduncoli. Due linee incise sulla parte inferiore del corpo. Mancante dell'orlo, del collo e di parte del corpo e del piede.",3,1,1,scavo del 1911 Tomba IV
7,,03/02/2020,347738,211678,,Stuani-347738,43,443,1,18,53,108,Piazza D'Armi,28,28,,-200,-101,11,14,,,,,,"Alabastron in gesso tipo Colivicchi I.1, basso collo cilindrico, corpo cilindrico allungato con spalla poco pronunciata, piede a disco con tre peduncoli. Due linee incise sulla parte inferiore del corpo. Mancante dell'orlo, del collo e di parte del corpo e del piede.",3,1,1,scavo del 1911 Tomba IV
8,,13/09/2022,347739,211679,,Stuani-347739,43,443,1,18,53,108,Piazza D'Armi,28,28,,-200,-101,11,20,,,,,4,"Alabastron in gesso tipo Colivicchi I.1, basso collo cilindrico, corpo cilindrico allungato con spalla poco pronunciata, piede a disco con tre peduncoli. Due linee incise sulla parte inferiore del corpo. Mancante dell'orlo e di parte del piede.",3,1,1,scavo del 1911 Tomba IV
9,,08/02/2021,347777,212495,,Stuani-347777,43,443,1,18,53,108,Piazza D'Armi,28,28,,-200,-101,16,19,,,,,4.5,"Alabastron in gesso tipo Colivicchi I.1, basso collo cilindrico, corpo cilindrico allungato con spalla poco pronunciata, piede a disco con tre peduncoli. Due linee incise sulla parte inferiore del corpo. Mancante dell'orlo e di parte del corpo e del piede.",3,1,1,scavo del 1911 Tomba IV
10,,07/01/2021,346980,51110,,Stuani-346980,43,443,1,18, 55B,108,Contrada Corvisea,28,28,8,-150,-126,11,17.1,,3.5,,3.3,3.5,"Alabastron in gesso tipo Colivicchi I.1.1.1, orlo a disco con imboccatura rilevata, basso collo cilindrico, corpo cilindrico allungato con spalla poco pronunciata, piede a disco con tre peduncoli. Due linee incise sul collo, sulla spalla e sulla parte inferiore del corpo. Corroso su un lato. Ricomposto.",4,1,1,scavo del 1934 Tomba 185
