"id_scheda","nctn","inv","suf","l4","l3","piano","sala","vetrina","comune","geonote","scan","dsca","dscd","dtzgi","dtzgf","dtzs","dtsi","dtsf","dtm","materia","tecnica","misa","misl","misp","misd","deso","stcc","stcl","adsp","adsm","cmpd","cmpn","fur","cdgg"
1,333030,5365,,798,52,3,2,1,108,"Villa Pepe. Recupero ","Villa Pepe. Recupero ","Quintino Quagliati",1917,11,11,22,6000,5300,11,238,"scheggiatura","6.5","2.2","0.7",,"Raschiatoio lungo ricavato da frammento mesiale di lama in selce garganica. Ha ritocco semplice diretto profondo bilaterale",2,3,1,1,2020-08-10,43,39,1
2,333028,5353,,492,43,3,2,1,108,"Villa Pepe. Recupero ","Villa Pepe. Recupero ","Quintino Quagliati",1917,11,11,22,5800,5300,8,25,"colombino","13.7","9.9","1.2",,"Frammento di grande contenitore in impasto grossolano di cui si conserva l'orlo diritto con labbro arrotondato. E' decorato con linea incisa affiancata da file di tratti obliqui con diverso orientamento impressi su un lato, tacche disordinate realizzate con punzone sull'altro. Cultura della ceramica impressa",8,3,1,1,2020-08-10,43,39,1
3,333028,5359,,485,43,3,2,1,108,"Villa Pepe. Recupero ","Villa Pepe. Recupero ","Quintino Quagliati",1917,11,11,14,5600,5200,8,25,"colombino",15,15,"0.8",,"Frammento di ciotola emisferica con orlo diritto, labbro assottigliato, fondo piatto, in impasto fine con ingubbiatura di colore arancio e decorata a graffito con bande oblique campite a reticolo losangico che si intersecano formando motivo indefinibile. Stile Matera-Ostuni",8,3,1,1,2020-08-10,43,39,1
4,333152,55215,,485,43,3,2,1,108,"Pizzone. Scavo","Pizzone. Scavo","Ciro Drago ",1947,11,11,14,5600,5200,8,25,"colombino","8.6","10.1","0.9",,"Frammento di ciotola emisferica con orlo diritto, labbro arrotondato, in impasto fine con ingubbiatura di colore bruno decorata a graffito con file orizzontali di losanghe campite con microrocker verticali. Stile Matera-Ostuni",8,3,1,1,2020-08-10,43,39,1
5,333027,5349,,791,52,3,2,1,108,"Villa Pepe. Recupero ","Villa Pepe. Recupero ","Quintino Quagliati",1917,11,11,22,6000,5300,11,238,"scheggiatura","5.6","1.6","0.3",,"lama in selce garganica, probabilmente prodotta tramite percussione indiretta",2,3,1,1,2020-08-10,43,39,1
6,333031,5367,,791,52,3,2,1,108,"Villa Pepe. Recupero ","Villa Pepe. Recupero ","Quintino Quagliati",1917,11,11,22,6000,5300,11,238,"scheggiatura",6,"1.6","0.2",,"lama in selce garganica, probabilmente prodotta tramite percussione indiretta",2,3,1,1,2020-08-10,43,39,1
7,333063,46425,,492,43,3,2,1,108,"Contrada Inchiusa, Vigneto Lupoli","Contrada Inchiusa, Vigneto Lupoli","Quintino Quagliati",1909,11,11,6,6000,5800,8,25,"colombino","14.5","12.5","1.2",,"Frammento di parete di grande contenitore con larga ansa a nastro in impasto grossolano decorato con impressioni realizzate a rocker. Cultura della ceramica impressa",8,3,1,1,2020-08-10,43,39,1
8,333051,41023,,492,43,3,2,1,108,"Cimino. Raccolta di superficie","Cimino. Raccolta di superficie","F. G. Lo Porto, Campi",1970,11,11,22,6000,5300,8,25,"colombino","11.4","12.8","1.6",,"Frammento di grande contenitore in impasto grossolano di cui si conserva l'orlo diritto con labbro appiattito. E' decorato a incisione con bande sinuose campite a reticolo losangico. Cultura della ceramica impressa",8,3,1,1,2020-08-10,43,39,1
9,333052,41038,,607,43,3,2,1,108,"Cimino. Scavo","Cimino. Scavo","Mariantonia Gorgoglione",1982,11,11,14,5600,5300,8,25,"colombino","4.9","4.8",,,"Frammento di vaso di cui si conserva il collo cilindrico con orlo diritto e labbro appiattito in impasto fine ingubbiato di colore arancio e decorato con applicazione antropomorfa: una bugna verticale rappresenta il naso; gli occhi, circolari, sono realizzati a microrocker, la bocca è resa con un tratto orizzontale. Dal naso e dalla bocca pendono rispettivamente bande oblique e banda verticale campite a rocker. Stile Matera-Ostuni",8,3,1,1,2020-08-10,43,39,1
10,333062,46386,,607,43,3,2,1,108,"Arsenale. Lavori di allargamento del muro di cinta ","Arsenale. Lavori di allargamento del muro di cinta ","Quintino Quagliati",1907,11,11,22,6000,5300,8,25,"colombino","4.5","13.5","1.1",,"Frammento di vaso di cui si conserva il fondo leggermente concavo e rilevato a tacco in impasto grossolano decorato a impressioni a pizzicato disposti su file orizzontali. Cultura della ceramica impressa",8,3,1,1,2020-08-11,43,39,1
