mogrify-im6.q16: negative or zero image size `/var/www/marta/file/foto/TA16M325_349856_02_Inv54138.jpg' @ error/resize.c/ResizeImage/2945.
mogrify-im6.q16: Premature end of JPEG file `/var/www/marta/file/foto/TA16M325_349856_02_Inv54138.jpg' @ warning/jpeg.c/JPEGWarningHandler/389.
mogrify-im6.q16: insufficient image data in file `/var/www/marta/file/foto/TA16M325_349856_02_Inv54138.jpg' @ error/jpeg.c/ReadProfile/785.
mogrify-im6.q16: Improper call to JPEG library in state 201 `/var/www/marta/file/foto/TA16M325_349856_02_Inv54138.jpg' @ error/jpeg.c/JPEGErrorHandler/338.
mogrify-im6.q16: Premature end of JPEG file `/var/www/marta/file/foto/TA16M325_360011_B_Inv51360.jpg' @ warning/jpeg.c/JPEGWarningHandler/389.
mogrify-im6.q16: Corrupt JPEG data: premature end of data segment `/var/www/marta/file/foto/TA16M325_360011_B_Inv51360.jpg' @ warning/jpeg.c/JPEGWarningHandler/389.
mogrify-im6.q16: Corrupt JPEG data: found marker 0xd9 instead of RST4 `/var/www/marta/file/foto/TA16M325_360011_B_Inv51360.jpg' @ warning/jpeg.c/JPEGWarningHandler/389.
mogrify-im6.q16: Corrupt JPEG data: found marker 0xd9 instead of RST5 `/var/www/marta/file/foto/TA16M325_360011_B_Inv51360.jpg' @ warning/jpeg.c/JPEGWarningHandler/389.
mogrify-im6.q16: Corrupt JPEG data: found marker 0xd9 instead of RST6 `/var/www/marta/file/foto/TA16M325_360011_B_Inv51360.jpg' @ warning/jpeg.c/JPEGWarningHandler/389.
mogrify-im6.q16: Corrupt JPEG data: found marker 0xd9 instead of RST7 `/var/www/marta/file/foto/TA16M325_360011_B_Inv51360.jpg' @ warning/jpeg.c/JPEGWarningHandler/389.
mogrify-im6.q16: Corrupt JPEG data: found marker 0xd9 instead of RST0 `/var/www/marta/file/foto/TA16M325_360011_B_Inv51360.jpg' @ warning/jpeg.c/JPEGWarningHandler/389.
mogrify-im6.q16: Corrupt JPEG data: found marker 0xd9 instead of RST1 `/var/www/marta/file/foto/TA16M325_360011_B_Inv51360.jpg' @ warning/jpeg.c/JPEGWarningHandler/389.
mogrify-im6.q16: Corrupt JPEG data: found marker 0xd9 instead of RST2 `/var/www/marta/file/foto/TA16M325_360011_B_Inv51360.jpg' @ warning/jpeg.c/JPEGWarningHandler/389.
mogrify-im6.q16: Corrupt JPEG data: found marker 0xd9 instead of RST3 `/var/www/marta/file/foto/TA16M325_360011_B_Inv51360.jpg' @ warning/jpeg.c/JPEGWarningHandler/389.
mogrify-im6.q16: Corrupt JPEG data: found marker 0xd9 instead of RST4 `/var/www/marta/file/foto/TA16M325_360011_B_Inv51360.jpg' @ warning/jpeg.c/JPEGWarningHandler/389.
mogrify-im6.q16: Corrupt JPEG data: found marker 0xd9 instead of RST5 `/var/www/marta/file/foto/TA16M325_360011_B_Inv51360.jpg' @ warning/jpeg.c/JPEGWarningHandler/389.
mogrify-im6.q16: Corrupt JPEG data: found marker 0xd9 instead of RST6 `/var/www/marta/file/foto/TA16M325_360011_B_Inv51360.jpg' @ warning/jpeg.c/JPEGWarningHandler/389.
mogrify-im6.q16: Corrupt JPEG data: found marker 0xd9 instead of RST7 `/var/www/marta/file/foto/TA16M325_360011_B_Inv51360.jpg' @ warning/jpeg.c/JPEGWarningHandler/389.
