receiving incremental file list
2024/09/04 16:52:46 recv ./
2024/09/04 16:52:46 recv TA16M325_317094_A_Inv 136389.jpg
2024/09/04 16:52:46 recv TA16M325_318782_B _156B.jpg
2024/09/04 16:52:46 recv TA16M325_320769_A_moneta_ eccedente.jpg
2024/09/04 16:52:46 recv TA16M325_320769_A_moneta_ eccedente_.jpg
2024/09/04 16:52:46 recv TA16M325_320769_B_moneta_ eccedente.jpg
2024/09/04 16:52:46 recv TA16M325_321229_A_bronzo imperiale.jpg
2024/09/04 16:52:46 recv TA16M325_321229_B_bronzo imperiale.jpg
2024/09/04 16:52:46 recv TA16M325_325380_A_Inv32251 1 .jpg
2024/09/04 16:52:46 recv TA16M325_325380_B_Inv32251 1.jpg
2024/09/04 16:52:46 recv TA16M325_325381_A_Inv32251 2 .jpg
2024/09/04 16:52:46 recv TA16M325_325381_B_Inv32251 2.jpg
2024/09/04 16:52:46 recv TA16M325_325422_A_Inv32292 .jpg
2024/09/04 16:52:46 recv TA16M325_325478_A_Inv32153 1.jpg
2024/09/04 16:52:46 recv TA16M325_325478_B_Inv32153 1.jpg
2024/09/04 16:52:46 recv TA16M325_325479_A_Inv32153 2.jpg
2024/09/04 16:52:46 recv TA16M325_325479_B_Inv32153 2.jpg
2024/09/04 16:52:46 recv TA16M325_325480_A_Inv32153 3.jpg
2024/09/04 16:52:46 recv TA16M325_325480_B_Inv32153 3.jpg
2024/09/04 16:52:46 recv TA16M325_325481_A_Inv32153 4.jpg
2024/09/04 16:52:46 recv TA16M325_325481_B_Inv32153 4.jpg
2024/09/04 16:52:46 recv TA16M325_325482_A_Inv32153 5.jpg
2024/09/04 16:52:46 recv TA16M325_325482_B_Inv32153 5.jpg
2024/09/04 16:52:46 recv TA16M325_325553_A_Inv29085 C.jpg
2024/09/04 16:52:46 recv TA16M325_325553_B_Inv29085 C.jpg
2024/09/04 16:52:46 recv TA16M325_325807_A_Inv40029 bis.jpg
2024/09/04 16:52:46 recv TA16M325_325807_B_Inv40029 bis.jpg
2024/09/04 16:52:46 recv TA16M325_325813_A_Inv40035a 1.jpg
2024/09/04 16:52:46 recv TA16M325_325813_B_Inv40035a 1.jpg
2024/09/04 16:52:46 recv TA16M325_325814_A_Inv40035a 2 .jpg
2024/09/04 16:52:46 recv TA16M325_325814_A_Inv40035a 2.jpg
2024/09/04 16:52:46 recv TA16M325_325814_B_Inv40035a 2.jpg
2024/09/04 16:52:46 recv TA16M325_325815_A_Inv40035a 3.jpg
2024/09/04 16:52:46 recv TA16M325_325815_B_Inv40035a 3.jpg
2024/09/04 16:52:46 recv TA16M325_325984_A_Inv40648 1.jpg
2024/09/04 16:52:46 recv TA16M325_325985_A_Inv40648 2.jpg
2024/09/04 16:52:46 recv TA16M325_326028_A_InvSN1 .jpg
2024/09/04 16:52:46 recv TA16M325_326200_A_Inv42027 1.jpg
2024/09/04 16:52:46 recv TA16M325_326240_A_Inv42071 1.jpg
2024/09/04 16:52:46 recv TA16M325_326240_B_Inv42071 2.jpg
2024/09/04 16:52:46 recv TA16M325_326243_A_Inv42027 2.jpg
2024/09/04 16:52:46 recv TA16M325_327139_B_Inv27526B .jpg
2024/09/04 16:52:46 recv TA16M325_327857_B_Inv51547 _.jpg
2024/09/04 16:52:46 recv TA16M325_328537_A_Inv50674A_ 1.jpg
2024/09/04 16:52:46 recv TA16M325_328537_B_Inv50674A_ 1.jpg
2024/09/04 16:52:46 recv TA16M325_328538_A_Inv50674A_ 2.jpg
2024/09/04 16:52:46 recv TA16M325_328538_B_Inv50674A_ 2.jpg
2024/09/04 16:52:46 recv TA16M325_328539_A_Inv50674A_ 3.jpg
2024/09/04 16:52:46 recv TA16M325_328539_B_Inv50674A_ 3.jpg
2024/09/04 16:52:46 recv TA16M325_328540_A_Inv50674A_ 4.jpg
2024/09/04 16:52:46 recv TA16M325_328540_B_Inv50674A_ 4.jpg
2024/09/04 16:52:46 recv TA16M325_328541_A_Inv50674A_ 5.jpg
2024/09/04 16:52:46 recv TA16M325_328541_B_Inv50674A_ 5.jpg
2024/09/04 16:52:46 recv TA16M325_328542_A_Inv50674A_ 6.jpg
2024/09/04 16:52:46 recv TA16M325_328542_B_Inv50674A_ 6.jpg
2024/09/04 16:52:46 recv TA16M325_328543_A_Inv50674A_ 7.jpg
2024/09/04 16:52:46 recv TA16M325_328543_B_Inv50674A_ 7.jpg
2024/09/04 16:52:46 recv TA16M325_328548_A_Inv50676A 1.jpg
2024/09/04 16:52:46 recv TA16M325_328548_B_Inv50676A 1.jpg
2024/09/04 16:52:46 recv TA16M325_328549_A_Inv50676A 2_.jpg
2024/09/04 16:52:46 recv TA16M325_328549_B_Inv50676A 2.jpg
2024/09/04 16:52:46 recv TA16M325_328570_A_Inv50691C_ 1.jpg
2024/09/04 16:52:46 recv TA16M325_328570_B_Inv50691C_ 1.jpg
2024/09/04 16:52:46 recv TA16M325_328571_A_Inv50691C_ 2.jpg
2024/09/04 16:52:46 recv TA16M325_328571_B_Inv50691C_ 2.jpg
2024/09/04 16:52:46 recv TA16M325_328572_A_Inv50691C_ 3.jpg
2024/09/04 16:52:46 recv TA16M325_328572_B_Inv50691C_ 3.jpg
2024/09/04 16:52:46 recv TA16M325_328613_A_Inv50709A_ 1.jpg
